date,country,cliques,impressoes,ctr,posicao
2026-06-18,bra,216,4563,0.047337278106508875,6.923296077142231
2026-01-15,bra,210,5808,0.03615702479338843,7.474173553719008
2026-06-17,bra,197,4728,0.041666666666666664,8.305837563451776
2026-01-14,bra,172,5940,0.028956228956228958,8.065151515151516
2026-01-16,bra,167,6032,0.027685676392572946,7.636770557029178
2026-01-12,bra,158,5990,0.02637729549248748,7.37779632721202
2025-06-16,bra,146,5347,0.027305030858425287,9.009725079483824
2026-01-13,bra,146,5422,0.026927333087421616,7.553485798598303
2025-12-22,bra,141,7588,0.018581971534001054,8.693726937269373
2025-12-08,bra,140,4695,0.029818956336528223,7.517784877529286
2025-12-02,bra,139,4620,0.030086580086580085,7.3995670995671
2025-12-23,bra,136,6889,0.01974161707069241,7.4417186819567425
2025-06-02,bra,134,5244,0.02555301296720061,7.977116704805492
2025-11-24,bra,134,4329,0.030954030954030955,7.044583044583044
2025-06-17,bra,128,4787,0.026739085021934405,8.435136828911634
2025-08-25,bra,128,5452,0.02347762289068232,9.061628760088041
2025-12-01,bra,126,4747,0.026543079839898884,7.085949020433958
2026-01-06,bra,123,5638,0.021816246896062434,7.325470024831501
2026-01-11,bra,122,5629,0.021673476638834607,7.273050275359744
2025-09-01,bra,121,6252,0.019353806781829814,9.7989443378119
2025-06-15,bra,120,6062,0.01979544704717915,8.645661497855492
2026-08-28,bra,120,3421,0.03507746273019585,7.692779888921368
2025-06-12,bra,119,6013,0.01979045401629802,8.148677864626642
2025-07-28,bra,118,6404,0.018425983760149905,9.266396002498439
2026-05-04,bra,118,4789,0.024639799540613908,7.774692002505742
2026-06-09,bra,118,4212,0.02801519468186135,7.516856600189934
2025-07-29,bra,117,6544,0.017878973105134473,9.21194987775061
2026-01-08,bra,117,5069,0.02308147563622016,7.431446044584731
2025-12-30,bra,116,6886,0.016845774034272436,7.338948591344757
2025-06-23,bra,115,4594,0.02503265128428385,7.684588593818024
2025-12-15,bra,115,5682,0.020239352340725096,7.434706089405139
2025-06-18,bra,114,4855,0.023480947476828013,8.127703398558188
2026-06-19,bra,114,3901,0.029223276083055628,7.46167649320687
2026-07-31,bra,114,4869,0.02341343191620456,7.6711850482645305
2026-08-03,bra,114,4443,0.025658338960162053,7.6716182759396805
2025-08-26,bra,113,5002,0.022590963614554177,8.924230307876849
2025-12-16,bra,113,5639,0.020039014009576167,7.500620677425076
2026-05-11,bra,113,4631,0.02440077736989851,8.125242928093284
2026-01-09,bra,112,5046,0.02219579865239794,7.75465715418153
2025-07-22,bra,111,6058,0.0183228788379003,9.429514691317266
2026-05-08,bra,111,4974,0.022316043425814235,7.856252513067953
2026-05-25,bra,111,4476,0.024798927613941018,7.58266309204647
2025-07-21,bra,110,6026,0.018254231662794558,9.236807168934616
2025-12-09,bra,110,4927,0.02232595900142074,7.532981530343008
