campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,shopping
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-11,32145,32078,1.002089,34,0.105771,1.26,1.332711,42.84,22.0,0,1.947273,6.0,0,7.14,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1864.0,0,0.022983,4.0,0,0,1864.0,0,0.022983,0,0,0,0.0,0,0,0.0,0,0,256.0,88.0,46.0,35.0,UNKNOWN,UNKNOWN,UNKNOWN,22.0,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-11,51712,49692,1.04065,153,0.295869,0.410261,1.213838,62.77,35.0,0,1.793429,3.0,0,20.923333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3832.0,0,0.01638,23.0,0,0,3832.0,0,0.01638,0,0,0,0.0,0,0,0.0,0,0,520.0,147.0,70.0,36.0,UNKNOWN,UNKNOWN,UNKNOWN,35.0,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-11,28129,28129,1.0,47,0.167087,0.74383,1.242845,34.96,35.0,0,0.998857,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,39.0,0,0.89641,2.0,0,0,39.0,0,0.89641,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,35.0,CS
[ALC] Semana do Cinema 2026,120239561692810087,OUTCOME_AWARENESS,2026-02-11,48289,44035,1.096605,85,0.176024,0.764588,1.345855,64.99,49.0,0,1.326327,8.0,0,8.12375,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,65.0,0,0.999846,16.0,0,0,65.0,0,0.999846,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,49.0,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-11,111355,107764,1.033323,155,0.139194,0.90729,1.262898,140.63,103.0,0,1.36534,12.0,0,11.719167,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2192.0,0,0.064156,9.0,0,0,2192.0,0,0.064156,0,0,0,0.0,0,0,0.0,0,0,249.0,60.0,30.0,15.0,UNKNOWN,UNKNOWN,UNKNOWN,103.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-12,32445,32445,1.0,39,0.120203,1.116667,1.342272,43.55,16.0,0,2.721875,4.0,0,10.8875,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1782.0,0,0.024439,9.0,0,0,1782.0,0,0.024439,0,0,0,0.0,0,0,0.0,0,0,279.0,88.0,57.0,37.0,UNKNOWN,UNKNOWN,UNKNOWN,16.0,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-12,51819,51184,1.012406,167,0.322276,0.380419,1.225998,63.53,36.0,0,1.764722,4.0,0,15.8825,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3509.0,0,0.018105,26.0,0,0,3510.0,0,0.0181,0,0,0,0.0,0,0,0.0,0,0,492.0,155.0,86.0,45.0,UNKNOWN,UNKNOWN,UNKNOWN,36.0,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-12,29152,27557,1.05788,35,0.12006,1.028,1.234221,35.98,27.0,0,1.332593,5.0,0,7.196,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,31.0,0,1.160645,3.0,0,0,31.0,0,1.160645,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,27.0,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-12,116540,114637,1.0166,224,0.192209,0.631518,1.213832,141.46,167.0,0,0.847066,21.0,0,6.73619,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1914.0,0,0.073908,20.0,0,0,1914.0,0,0.073908,0,0,0,0.0,0,0,0.0,0,0,207.0,45.0,32.0,23.0,UNKNOWN,UNKNOWN,UNKNOWN,163.0,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-12,6954,6751,1.03007,38,0.546448,0.646842,3.534656,24.58,25.0,0,0.9832,6.0,0,4.096667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3411.0,0,0.007206,63.0,0,0,3411.0,0,0.007206,0,0,0,0.0,0,0,0.0,0,0,1124.0,473.0,279.0,133.0,UNKNOWN,UNKNOWN,UNKNOWN,25.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-13,32702,31550,1.036513,35,0.107027,1.234,1.320714,43.19,23.0,0,1.877826,3.0,0,14.396667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1580.0,0,0.027335,6.0,0,0,1580.0,0,0.027335,0,0,0,0.0,0,0,0.0,0,0,254.0,83.0,42.0,24.0,UNKNOWN,UNKNOWN,UNKNOWN,23.0,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-13,52772,52251,1.009971,192,0.363829,0.331719,1.20689,63.69,41.0,0,1.553415,4.0,0,15.9225,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4008.0,0,0.015891,21.0,0,0,4008.0,0,0.015891,0,0,0,0.0,0,0,0.0,0,0,528.0,158.0,70.0,32.0,UNKNOWN,UNKNOWN,UNKNOWN,41.0,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-13,28884,28744,1.004871,36,0.124636,0.986667,1.229747,35.52,27.0,0,1.315556,3.0,0,11.84,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,151.0,0,0.235232,4.0,0,0,151.0,0,0.235232,0,0,0,0.0,0,0,0.0,0,0,29.0,10.0,3.0,1.0,UNKNOWN,UNKNOWN,UNKNOWN,27.0,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-13,114838,108123,1.062105,190,0.16545,0.766789,1.268657,145.69,125.0,0,1.16552,15.0,0,9.712667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2455.0,0,0.059344,17.0,0,0,2455.0,0,0.059344,0,0,0,0.0,0,0,0.0,0,0,254.0,62.0,34.0,28.0,UNKNOWN,UNKNOWN,UNKNOWN,124.0,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-13,26638,24819,1.073291,161,0.6044,0.604596,3.654178,97.34,73.0,0,1.333425,21.0,0,4.635238,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,13413.0,0,0.007257,235.0,0,0,13413.0,0,0.007257,0,0,0,0.0,0,0,0.0,0,0,5544.0,2187.0,1213.0,464.0,UNKNOWN,UNKNOWN,UNKNOWN,71.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-14,38326,37395,1.024896,38,0.099149,1.266842,1.256066,48.14,29.0,0,1.66,3.0,0,16.046667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1905.0,0,0.02527,5.0,0,0,1905.0,0,0.02527,0,0,0,0.0,0,0,0.0,0,0,320.0,95.0,55.0,35.0,UNKNOWN,UNKNOWN,UNKNOWN,29.0,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-14,61594,61594,1.0,255,0.414001,0.274784,1.137611,70.07,46.0,0,1.523261,8.0,0,8.75875,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5180.0,0,0.013527,25.0,0,0,5181.0,0,0.013524,0,0,0,0.0,0,0,0.0,0,0,718.0,233.0,117.0,68.0,UNKNOWN,UNKNOWN,UNKNOWN,45.0,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-14,34352,33221,1.034045,57,0.165929,0.693333,1.150442,39.52,43.0,0,0.91907,3.0,0,13.173333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,65.0,0,0.608,4.0,0,0,65.0,0,0.608,0,0,0,0.0,0,0,0.0,0,0,4.0,1.0,1.0,1.0,UNKNOWN,UNKNOWN,UNKNOWN,43.0,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-14,123429,119742,1.030791,211,0.170948,0.713839,1.220297,150.62,141.0,0,1.068227,23.0,0,6.548696,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2241.0,0,0.067211,17.0,0,0,2241.0,0,0.067211,0,0,0,0.0,0,0,0.0,0,0,222.0,49.0,32.0,24.0,UNKNOWN,UNKNOWN,UNKNOWN,139.0,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-14,24452,24000,1.018833,192,0.785212,0.455729,3.578439,87.5,77.0,0,1.136364,19.0,0,4.605263,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,13956.0,0,0.00627,166.0,0,0,13956.0,0,0.00627,0,0,0,0.0,0,0,0.0,0,0,5740.0,2074.0,1146.0,453.0,UNKNOWN,UNKNOWN,UNKNOWN,75.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-15,40981,40096,1.022072,49,0.119568,0.985714,1.178595,48.3,34.0,0,1.420588,4.0,0,12.075,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2439.0,0,0.019803,9.0,0,0,2439.0,0,0.019803,0,0,0,0.0,0,0,0.0,0,0,313.0,92.0,54.0,33.0,UNKNOWN,UNKNOWN,UNKNOWN,34.0,CS
ALC - Capivalley,120238793084460087,OUTCOME_AWARENESS,2026-02-15,9884,9634,1.02595,43,0.435047,0.254419,1.106839,10.94,2.0,0,5.47,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,804.0,0,0.013607,4.0,0,0,804.0,0,0.013607,0,0,0,0.0,0,0,0.0,0,0,125.0,36.0,16.0,11.0,UNKNOWN,UNKNOWN,UNKNOWN,2.0,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-15,34181,33749,1.0128,63,0.184313,0.590317,1.088031,37.19,35.0,0,1.062571,7.0,0,5.312857,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,605.0,0,0.061471,8.0,0,0,605.0,0,0.061471,0,0,0,0.0,0,0,0.0,0,0,141.0,51.0,21.0,9.0,UNKNOWN,UNKNOWN,UNKNOWN,35.0,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-15,141518,136981,1.033121,222,0.156871,0.737207,1.156461,163.66,167.0,0,0.98,33.0,0,4.959394,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2399.0,0,0.06822,20.0,0,0,2399.0,0,0.06822,0,0,0,0.0,0,0,0.0,0,0,213.0,57.0,25.0,20.0,UNKNOWN,UNKNOWN,UNKNOWN,167.0,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-15,63094,57183,1.10337,419,0.664089,0.562267,3.733953,235.59,204.0,0,1.154853,48.0,0,4.908125,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,26478.0,0,0.008898,362.0,0,0,26478.0,0,0.008898,0,0,0,0.0,0,0,0.0,0,0,9522.0,3892.0,2467.0,1366.0,UNKNOWN,UNKNOWN,UNKNOWN,201.0,CS
[ALC] Musical das capivaras,120239893660110087,OUTCOME_AWARENESS,2026-02-15,167335,166171,1.007005,329,0.196612,0.584924,1.150028,192.44,262.0,0,0.734504,39.0,0,4.934359,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,292.0,0,0.659041,8.0,0,0,292.0,0,0.659041,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,262.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-16,40225,39319,1.023042,57,0.141703,0.795263,1.126911,45.33,42.0,0,1.079286,4.0,0,11.3325,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2302.0,0,0.019692,8.0,0,0,2302.0,0,0.019692,0,0,0,0.0,0,0,0.0,0,0,271.0,79.0,51.0,28.0,UNKNOWN,UNKNOWN,UNKNOWN,42.0,CS
[ALC] Carnaval - 02/02,120239471825400087,OUTCOME_AWARENESS,2026-02-16,7998,7927,1.008957,22,0.275069,0.387727,1.066517,8.53,16.0,0,0.533125,3.0,0,2.843333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,44.0,0,0.193864,1.0,0,0,44.0,0,0.193864,0,0,0,0.0,0,0,0.0,0,0,6.0,1.0,,,UNKNOWN,UNKNOWN,UNKNOWN,16.0,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-16,127007,118667,1.070281,221,0.174006,0.638462,1.110962,141.1,165.0,0,0.855152,22.0,0,6.413636,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2367.0,0,0.059611,14.0,0,0,2367.0,0,0.059611,0,0,0,0.0,0,0,0.0,0,0,243.0,48.0,26.0,18.0,UNKNOWN,UNKNOWN,UNKNOWN,165.0,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-16,57603,51636,1.115559,350,0.607607,0.725686,4.409319,253.99,197.0,0,1.289289,55.0,0,4.618,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,22735.0,0,0.011172,319.0,0,0,22735.0,0,0.011172,0,0,0,0.0,0,0,0.0,0,0,8421.0,4258.0,2950.0,2031.0,UNKNOWN,UNKNOWN,UNKNOWN,195.0,CS
[ALC] Musical das capivaras,120239893660110087,OUTCOME_AWARENESS,2026-02-16,99288,99288,1.0,182,0.183305,0.590989,1.083313,107.56,132.0,0,0.814848,20.0,0,5.378,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,143.0,0,0.752168,7.0,0,0,143.0,0,0.752168,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,132.0,CS
[ALC] Carnapet Continente Shopping,120239915880680087,OUTCOME_AWARENESS,2026-02-16,70535,67260,1.048692,142,0.201318,0.599014,1.205926,85.06,115.0,0,0.739652,12.0,0,7.088333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,133.0,0,0.639549,11.0,0,0,133.0,0,0.639549,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,115.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-17,41685,40532,1.028447,44,0.105554,0.995,1.050258,43.78,30.0,0,1.459333,6.0,0,7.296667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2342.0,0,0.018693,10.0,0,0,2342.0,0,0.018693,0,0,0,0.0,0,0,0.0,0,0,323.0,102.0,52.0,32.0,UNKNOWN,UNKNOWN,UNKNOWN,30.0,CS
[ALC] Eventos Carnaval,120239751838580087,OUTCOME_AWARENESS,2026-02-17,38710,38710,1.0,63,0.162749,0.65254,1.061999,41.11,50.0,0,0.8222,9.0,0,4.567778,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,437.0,0,0.094073,3.0,0,0,437.0,0,0.094073,0,0,0,0.0,0,0,0.0,0,0,49.0,12.0,7.0,5.0,UNKNOWN,UNKNOWN,UNKNOWN,49.0,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-17,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,0.0,CS
[ALC] Carnapet Continente Shopping,120239915880680087,OUTCOME_AWARENESS,2026-02-17,56903,56808,1.001672,103,0.18101,0.630097,1.140537,64.9,84.0,0,0.772619,18.0,0,3.605556,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,91.0,0,0.713187,7.0,0,0,91.0,0,0.713187,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,84.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-18,38944,38444,1.013006,42,0.107847,0.973333,1.049712,40.88,27.0,0,1.514074,3.0,0,13.626667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1902.0,0,0.021493,7.0,0,0,1902.0,0,0.021493,0,0,0,0.0,0,0,0.0,0,0,267.0,81.0,39.0,24.0,UNKNOWN,UNKNOWN,UNKNOWN,27.0,CS
[ALC] Carnapet Continente Shopping,120239915880680087,OUTCOME_AWARENESS,2026-02-18,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,0.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-19,37054,36764,1.007888,39,0.105252,1.095897,1.153452,42.74,26.0,0,1.643846,5.0,0,8.548,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1757.0,0,0.024326,9.0,0,0,1757.0,0,0.024326,0,0,0,0.0,0,0,0.0,0,0,215.0,76.0,44.0,31.0,UNKNOWN,UNKNOWN,UNKNOWN,26.0,CS
[ALC] Eventos de Carnaval,120239828976910087,OUTCOME_ENGAGEMENT,2026-02-19,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,UNKNOWN,UNKNOWN,UNKNOWN,0.0,CS
[ALC] Capivalley - Últimos dias,120240006022760087,OUTCOME_AWARENESS,2026-02-19,44901,44901,1.0,74,0.164807,0.724054,1.193292,53.58,27.0,0,1.984444,7.0,0,7.654286,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2421.0,0,0.022131,7.0,0,0,2421.0,0,0.022131,0,0,0,0.0,0,0,0.0,0,0,477.0,121.0,75.0,46.0,UNKNOWN,UNKNOWN,UNKNOWN,27.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-20,35009,34187,1.024044,44,0.125682,0.969545,1.218544,42.66,22.0,0,1.939091,4.0,0,10.665,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1625.0,0,0.026252,6.0,0,0,1625.0,0,0.026252,0,0,0,0.0,0,0,0.0,0,0,245.0,64.0,36.0,24.0,UNKNOWN,UNKNOWN,UNKNOWN,22.0,CS
[ALC] Capivalley - Últimos dias,120240006022760087,OUTCOME_AWARENESS,2026-02-20,155009,155009,1.0,235,0.151604,0.795191,1.205543,186.87,119.0,0,1.570336,27.0,0,6.921111,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7482.0,0,0.024976,12.0,0,0,7483.0,0,0.024973,0,0,0,0.0,0,0,0.0,0,0,1638.0,429.0,226.0,132.0,UNKNOWN,UNKNOWN,UNKNOWN,119.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-02-20,20953,20874,1.003785,35,0.167041,0.739714,1.235623,25.89,25.0,0,1.0356,13.0,0,1.991538,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,607.0,0,0.042652,3.0,0,0,607.0,0,0.042652,0,0,0,0.0,0,0,0.0,0,0,112.0,35.0,19.0,13.0,UNKNOWN,UNKNOWN,UNKNOWN,25.0,CS
TFG - Narbona Site,120240056012140087,LINK_CLICKS,2026-02-20,19428,16479,1.178955,624,3.211859,0.177099,5.688182,110.51,453.0,0,0.243951,138.0,0,0.800797,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1733.0,0,0.063768,26.0,0,0,1733.0,0,0.063768,0,0,0,0.0,0,0,0.0,0,0,404.0,135.0,96.0,67.0,UNKNOWN,UNKNOWN,UNKNOWN,452.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-21,39009,38070,1.024665,57,0.14612,0.824035,1.204081,46.97,40.0,0,1.17425,7.0,0,6.71,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2410.0,0,0.01949,13.0,0,0,2410.0,0,0.01949,0,0,0,0.0,0,0,0.0,0,0,252.0,66.0,38.0,22.0,UNKNOWN,UNKNOWN,UNKNOWN,40.0,CS
[ALC] Capivalley - Últimos dias,120240006022760087,OUTCOME_AWARENESS,2026-02-21,174596,171714,1.016784,228,0.130587,0.911184,1.18989,207.75,126.0,0,1.64881,19.0,0,10.934211,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7868.0,0,0.026404,11.0,0,0,7868.0,0,0.026404,0,0,0,0.0,0,0,0.0,0,0,1774.0,377.0,187.0,108.0,UNKNOWN,UNKNOWN,UNKNOWN,125.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-02-21,86816,83312,1.042059,145,0.16702,0.728414,1.216596,105.62,112.0,0,0.943036,56.0,0,1.886071,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1730.0,0,0.061052,7.0,0,0,1730.0,0,0.061052,0,0,0,0.0,0,0,0.0,0,0,327.0,88.0,48.0,36.0,UNKNOWN,UNKNOWN,UNKNOWN,112.0,CS
TFG - Narbona Site,120240056012140087,LINK_CLICKS,2026-02-21,104012,66230,1.570467,3549,3.412106,0.167272,5.707515,593.65,2477.0,0,0.239665,640.0,0,0.927578,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7990.0,0,0.074299,113.0,0,0,7991.0,0,0.07429,0,0,0,0.0,0,0,0.0,0,0,1921.0,537.0,351.0,243.0,UNKNOWN,UNKNOWN,UNKNOWN,2477.0,CS
ALC - NARBONA,120237232905670087,OUTCOME_AWARENESS,2026-02-22,20455,19741,1.036168,31,0.151552,0.761613,1.154241,23.61,27.0,0,0.874444,4.0,0,5.9025,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1097.0,0,0.021522,3.0,0,0,1097.0,0,0.021522,0,0,0,0.0,0,0,0.0,0,0,133.0,37.0,23.0,13.0,UNKNOWN,UNKNOWN,UNKNOWN,27.0,CS
[ALC] Capivalley - Últimos dias,120240006022760087,OUTCOME_AWARENESS,2026-02-22,44831,43622,1.027715,70,0.156142,0.74,1.15545,51.8,40.0,0,1.295,4.0,0,12.95,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2064.0,0,0.025097,8.0,0,0,2064.0,0,0.025097,0,0,0,0.0,0,0,0.0,0,0,449.0,113.0,57.0,39.0,UNKNOWN,UNKNOWN,UNKNOWN,40.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-02-22,47200,45852,1.029399,65,0.137712,0.833231,1.147458,54.16,45.0,0,1.203556,24.0,0,2.256667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1122.0,0,0.048271,3.0,0,0,1122.0,0,0.048271,0,0,0,0.0,0,0,0.0,0,0,200.0,47.0,31.0,16.0,UNKNOWN,UNKNOWN,UNKNOWN,45.0,CS
TFG - Narbona Site,120240056012140087,LINK_CLICKS,2026-02-22,55535,40769,1.362187,1690,3.043126,0.16558,5.038804,279.83,1326.0,0,0.211033,300.0,0,0.932767,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4048.0,0,0.069128,49.0,0,0,4048.0,0,0.069128,0,0,0,0.0,0,0,0.0,0,0,1076.0,196.0,133.0,90.0,UNKNOWN,UNKNOWN,UNKNOWN,1326.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-03-06,11813,11740,1.006218,14,0.118514,1.092857,1.295183,15.3,8.0,0,1.9125,4.0,0,3.825,0.0,0,0.0,0,0,0,0,0,0,1.0,0,15.3,0,0,0,367.0,0,0.041689,0.0,0,0,367.0,0,0.041689,0,0,0,0.0,0,0,0.0,0,0,71.0,17.0,10.0,5.0,UNKNOWN,UNKNOWN,UNKNOWN,8.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-03-07,17626,17503,1.007027,39,0.221264,0.530769,1.174401,20.7,22.0,0,0.940909,8.0,0,2.5875,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,736.0,0,0.028125,5.0,0,0,736.0,0,0.028125,0,0,0,0.0,0,0,7.0,0,0,121.0,31.0,16.0,8.0,UNKNOWN,UNKNOWN,UNKNOWN,22.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-03-08,20930,20033,1.044776,36,0.172002,0.617222,1.061634,22.22,23.0,0,0.966087,14.0,0,1.587143,0.0,0,0.0,0,0,0,0,0,0,2.0,0,11.11,0,0,0,550.0,0,0.0404,5.0,0,0,550.0,0,0.0404,0,0,0,0.0,0,0,12.0,0,0,113.0,29.0,18.0,10.0,UNKNOWN,UNKNOWN,UNKNOWN,23.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-03-09,17298,16771,1.031423,25,0.144525,0.7528,1.087987,18.82,16.0,0,1.17625,11.0,0,1.710909,1.0,0,18.82,0,0,0,0,0,0,8.0,0,2.3525,0,0,0,600.0,0,0.031367,2.0,0,0,600.0,0,0.031367,0,0,0,1.0,0,0,29.0,0,0,104.0,33.0,17.0,7.0,UNKNOWN,UNKNOWN,UNKNOWN,16.0,CS
ALC - Narbona novos conteúdos,120240054308210087,OUTCOME_AWARENESS,2026-03-10,17193,16142,1.06511,37,0.215204,0.555676,1.195836,20.56,21.0,0,0.979048,12.0,0,1.713333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,561.0,0,0.036649,9.0,0,0,561.0,0,0.036649,0,0,0,0.0,0,0,3.0,0,0,93.0,36.0,23.0,17.0,UNKNOWN,UNKNOWN,UNKNOWN,21.0,CS
