campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,video_p25,video_p50,video_p75,video_p100,publisher_platform,platform_position,shopping
ALC | Moda Feminina,120218457714640075,OUTCOME_AWARENESS,2025-12-10,2135,2135,1.0,0,0.0,0.0,1.537791,3.283184,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,26.0,12.0,8.0,7.0,instagram,feed,NR
ALC | Moda Feminina,120218457714640075,OUTCOME_AWARENESS,2025-12-10,23,23,1.0,0,0.0,0.0,1.305614,0.030029,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC | Moda Feminina,120218457714640075,OUTCOME_AWARENESS,2025-12-10,1179,1179,1.0,2,0.169635,1.081049,1.83384,2.162097,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10.0,5.0,3.0,3.0,instagram,instagram_reels,NR
ALC | Moda Feminina,120218457714640075,OUTCOME_AWARENESS,2025-12-10,3263,3251,1.003691,3,0.09194,1.611563,1.48167,4.834689,3.0,0,1.611563,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,16.0,2.0,,,instagram,instagram_stories,NR
ALC | Moda masculina,120218468471470075,OUTCOME_AWARENESS,2025-12-10,902,902,1.0,0,0.0,0.0,1.564783,1.411434,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,60.0,15.0,10.0,7.0,instagram,feed,NR
ALC | Moda masculina,120218468471470075,OUTCOME_AWARENESS,2025-12-10,6,5,1.2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC | Moda masculina,120218468471470075,OUTCOME_AWARENESS,2025-12-10,1427,1406,1.014936,1,0.070077,2.242279,1.571324,2.242279,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,53.0,10.0,4.0,3.0,instagram,instagram_reels,NR
ALC | Moda masculina,120218468471470075,OUTCOME_AWARENESS,2025-12-10,3881,3881,1.0,4,0.103066,1.546572,1.593993,6.186287,4.0,0,1.546572,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,31.0,15.0,9.0,8.0,instagram,instagram_stories,NR
ALC - Lojas - Inauguração/ Gastronomia,120218470856850075,OUTCOME_AWARENESS,2025-12-10,1848,1848,1.0,1,0.054113,3.023272,1.63597,3.023272,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,27.0,8.0,5.0,4.0,instagram,feed,NR
ALC - Lojas - Inauguração/ Gastronomia,120218470856850075,OUTCOME_AWARENESS,2025-12-10,5,5,1.0,0,0.0,0.0,2.002167,0.010011,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - Lojas - Inauguração/ Gastronomia,120218470856850075,OUTCOME_AWARENESS,2025-12-10,569,565,1.00708,0,0.0,0.0,1.706592,0.971051,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4.0,1.0,1.0,,instagram,instagram_reels,NR
ALC - Lojas - Inauguração/ Gastronomia,120218470856850075,OUTCOME_AWARENESS,2025-12-10,3004,2968,1.012129,2,0.066578,2.617833,1.742898,5.235666,2.0,0,2.617833,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,25.0,2.0,,,instagram,instagram_stories,NR
ALC - Lojas - Diversão,120226684244550075,OUTCOME_AWARENESS,2025-12-10,642,642,1.0,0,0.0,0.0,1.884735,1.21,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,feed,NR
ALC - Lojas - Diversão,120226684244550075,OUTCOME_AWARENESS,2025-12-10,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - Lojas - Diversão,120226684244550075,OUTCOME_AWARENESS,2025-12-10,741,727,1.019257,1,0.134953,1.29,1.740891,1.29,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_reels,NR
ALC - Lojas - Diversão,120226684244550075,OUTCOME_AWARENESS,2025-12-10,4843,4814,1.006024,7,0.144539,1.097143,1.585794,7.68,7.0,0,1.097143,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_stories,NR
ALC - Natal Noel Decor,120234329536470075,OUTCOME_AWARENESS,2025-12-10,2401,2360,1.017373,2,0.083299,2.076166,1.729418,4.152333,1.0,0,4.152333,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,28.0,13.0,10.0,7.0,instagram,feed,NR
ALC - Natal Noel Decor,120234329536470075,OUTCOME_AWARENESS,2025-12-10,26,26,1.0,0,0.0,0.0,2.693821,0.070039,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - Natal Noel Decor,120234329536470075,OUTCOME_AWARENESS,2025-12-10,2121,2111,1.004737,4,0.18859,0.855481,1.613353,3.421922,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5.0,,,,instagram,instagram_reels,NR
ALC - Natal Noel Decor,120234329536470075,OUTCOME_AWARENESS,2025-12-10,5696,5659,1.006538,8,0.140449,1.269463,1.782954,10.155705,8.0,0,1.269463,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,25.0,2.0,,,instagram,instagram_stories,NR
ALC - NATAL 25,120234821449200075,OUTCOME_AWARENESS,2025-12-10,2808,2703,1.038846,5,0.178063,0.842,1.499288,4.21,3.0,0,1.403333,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,1.0,1.0,1.0,facebook,facebook_reels,NR
ALC - NATAL 25,120234821449200075,OUTCOME_AWARENESS,2025-12-10,6104,5746,1.062304,7,0.114679,0.85,0.974771,5.95,7.0,0,0.85,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,facebook,facebook_reels_overlay,NR
ALC - NATAL 25,120234821449200075,OUTCOME_AWARENESS,2025-12-10,4291,4262,1.006804,6,0.139828,1.071667,1.498485,6.43,6.0,0,1.071667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,facebook,facebook_stories,NR
ALC - NATAL 25,120234821449200075,OUTCOME_AWARENESS,2025-12-10,3683,3666,1.004637,21,0.570187,0.265714,1.515069,5.58,8.0,0,0.6975,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,27.0,10.0,5.0,1.0,facebook,feed,NR
ALC - NATAL 25,120234821449200075,OUTCOME_AWARENESS,2025-12-10,3,3,1.0,0,0.0,0.0,3.333333,0.01,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,facebook,instream_video,NR
ALC - NATAL 25,120234821449200075,OUTCOME_AWARENESS,2025-12-10,4644,4122,1.126638,3,0.064599,2.293333,1.481481,6.88,1.0,0,6.88,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,11.0,1.0,1.0,1.0,facebook,marketplace,NR
ALC - NATAL 25,120234821449200075,OUTCOME_AWARENESS,2025-12-10,483,483,1.0,1,0.207039,0.68,1.407867,0.68,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,,,,instagram,feed,NR
ALC - NATAL 25,120234821449200075,OUTCOME_AWARENESS,2025-12-10,1563,1563,1.0,2,0.127959,1.335,1.708253,2.67,2.0,0,1.335,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,1.0,,,instagram,instagram_reels,NR
ALC - NATAL 25,120234821449200075,OUTCOME_AWARENESS,2025-12-10,1632,1604,1.017456,4,0.245098,0.6,1.470588,2.4,3.0,0,0.8,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_stories,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,10,10,1.0,0,0.0,0.0,5.0,0.05,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,facebook,facebook_notification,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,6,6,1.0,0,0.0,0.0,1.666667,0.01,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,facebook,facebook_profile_feed,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,108,97,1.113402,1,0.925926,0.16,1.481481,0.16,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5.0,2.0,1.0,,facebook,facebook_reels,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,3176,2957,1.074062,19,0.598237,0.174211,1.042191,3.31,19.0,0,0.174211,14.0,0,0.236429,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3.0,2.0,1.0,,facebook,facebook_reels_overlay,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,7,7,1.0,0,0.0,0.0,4.285714,0.03,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,facebook,facebook_stories,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,3772,3461,1.089858,218,5.779427,0.139495,8.062036,30.41,118.0,0,0.257712,78.0,0,0.389872,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,138.0,69.0,53.0,30.0,facebook,feed,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,103,100,1.03,0,0.0,0.0,2.524272,0.26,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,2.0,,,facebook,instream_video,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,3,3,1.0,0,0.0,0.0,6.666667,0.02,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,,,,facebook,marketplace,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,19,18,1.055556,0,0.0,0.0,6.315789,0.12,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,1.0,1.0,,instagram,feed,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_reels,NR
TRAF - NATAL 25,120234821911100075,LINK_CLICKS,2025-12-10,4,4,1.0,0,0.0,0.0,7.5,0.03,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_stories,NR
ALC - Senhora Farinha,120235105425650075,OUTCOME_AWARENESS,2025-12-10,1312,1245,1.053815,1,0.07622,2.020839,1.540273,2.020839,1.0,0,2.020839,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,136.0,60.0,34.0,13.0,instagram,feed,NR
ALC - Senhora Farinha,120235105425650075,OUTCOME_AWARENESS,2025-12-10,85,85,1.0,0,0.0,0.0,1.647743,0.140058,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,,,,instagram,instagram_explore,NR
ALC - Senhora Farinha,120235105425650075,OUTCOME_AWARENESS,2025-12-10,5367,5297,1.013215,5,0.093162,1.802748,1.679475,9.01374,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,654.0,345.0,163.0,33.0,instagram,instagram_reels,NR
ALC - Senhora Farinha,120235105425650075,OUTCOME_AWARENESS,2025-12-10,7403,7403,1.0,13,0.175604,0.994259,1.745963,12.925363,10.0,0,1.292536,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,155.0,113.0,3.0,2.0,instagram,instagram_stories,NR
ALC - Cidadania Já,120235524827340075,OUTCOME_AWARENESS,2025-12-10,1342,1342,1.0,1,0.074516,2.21,1.646796,2.21,1.0,0,2.21,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,33.0,17.0,7.0,3.0,instagram,feed,NR
ALC - Cidadania Já,120235524827340075,OUTCOME_AWARENESS,2025-12-10,6,6,1.0,0,0.0,0.0,5.0,0.03,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - Cidadania Já,120235524827340075,OUTCOME_AWARENESS,2025-12-10,871,857,1.016336,1,0.114811,1.39,1.595867,1.39,1.0,0,1.39,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,6.0,2.0,2.0,,instagram,instagram_reels,NR
ALC - Cidadania Já,120235524827340075,OUTCOME_AWARENESS,2025-12-10,3066,3026,1.013219,5,0.163079,1.036,1.689498,5.18,4.0,0,1.295,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,30.0,1.0,,,instagram,instagram_stories,NR
ALC - Nova Arezzo,120235811959840075,OUTCOME_AWARENESS,2025-12-10,17541,16780,1.045352,33,0.188131,1.068485,2.010148,35.26,26.0,0,1.356154,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,403.0,153.0,91.0,72.0,instagram,feed,NR
ALC - Nova Arezzo,120235811959840075,OUTCOME_AWARENESS,2025-12-10,309,308,1.003247,1,0.323625,0.67,2.168285,0.67,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC- Diário da lancheira,120235811993880075,OUTCOME_AWARENESS,2025-12-10,297,290,1.024138,0,0.0,0.0,1.755383,0.521349,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,feed,NR
ALC- Diário da lancheira,120235811993880075,OUTCOME_AWARENESS,2025-12-10,5,5,1.0,0,0.0,0.0,6.015564,0.030078,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC- Diário da lancheira,120235811993880075,OUTCOME_AWARENESS,2025-12-10,778,769,1.011704,1,0.128535,1.243217,1.597965,1.243217,1.0,0,1.243217,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_reels,NR
ALC- Diário da lancheira,120235811993880075,OUTCOME_AWARENESS,2025-12-10,3511,3477,1.009779,4,0.113928,1.483839,1.690503,5.935357,2.0,0,2.967678,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_stories,NR
ALC - CHURRAS,120235922401180075,OUTCOME_AWARENESS,2025-12-10,10442,10225,1.021222,10,0.095767,1.752608,1.678422,17.52608,7.0,0,2.503726,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,25.0,12.0,7.0,6.0,instagram,feed,NR
ALC - CHURRAS,120235922401180075,OUTCOME_AWARENESS,2025-12-10,126,124,1.016129,0,0.0,0.0,1.82603,0.23008,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - CHURRAS,120235922401180075,OUTCOME_AWARENESS,2025-12-10,7980,7980,1.0,11,0.137845,1.300451,1.792602,14.304963,7.0,0,2.043566,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,,,,instagram,instagram_reels,NR
ALC - CHURRAS,120235922401180075,OUTCOME_AWARENESS,2025-12-10,15152,14660,1.033561,28,0.184794,0.913888,1.688812,25.588877,23.0,0,1.11256,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,1.0,,,instagram,instagram_stories,NR
ENG - CHURRAS NR,120235922750610075,OUTCOME_ENGAGEMENT,2025-12-10,513,436,1.176606,4,0.779727,2.580121,20.117901,10.320483,3.0,0,3.440161,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,feed,NR
ENG - CHURRAS NR,120235922750610075,OUTCOME_ENGAGEMENT,2025-12-10,314,251,1.250996,1,0.318471,8.96911,28.564046,8.96911,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_reels,NR
ENG - CHURRAS NR,120235922750610075,OUTCOME_ENGAGEMENT,2025-12-10,32,27,1.185185,0,0.0,0.0,12.51271,0.400407,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_stories,NR
ALC - Inauguração Brasileirisse,120236583251180075,OUTCOME_AWARENESS,2025-12-10,5506,5399,1.019818,4,0.072648,2.478546,1.800615,9.914185,4.0,0,2.478546,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,feed,NR
ALC - Inauguração Brasileirisse,120236583251180075,OUTCOME_AWARENESS,2025-12-10,57,55,1.036364,0,0.0,0.0,1.579614,0.090038,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - Inauguração Brasileirisse,120236583251180075,OUTCOME_AWARENESS,2025-12-10,10009,10009,1.0,7,0.069937,2.479618,1.734172,17.357327,3.0,0,5.785776,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_reels,NR
ALC - Inauguração Brasileirisse,120236583251180075,OUTCOME_AWARENESS,2025-12-10,25184,24371,1.033359,37,0.146919,1.181309,1.735564,43.70845,27.0,0,1.618831,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_stories,NR
ALC - Musical Chapeuzinho,120236583431100075,OUTCOME_AWARENESS,2025-12-10,2312,2258,1.023915,7,0.302768,0.564573,1.709347,3.952011,6.0,0,0.658669,1.0,0,3.952011,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,feed,NR
ALC - Musical Chapeuzinho,120236583431100075,OUTCOME_AWARENESS,2025-12-10,49,46,1.065217,0,0.0,0.0,1.225113,0.060031,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - Musical Chapeuzinho,120236583431100075,OUTCOME_AWARENESS,2025-12-10,12019,12019,1.0,11,0.091522,1.903696,1.742296,20.940656,5.0,0,4.188131,1.0,0,20.940656,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_reels,NR
ALC - Musical Chapeuzinho,120236583431100075,OUTCOME_AWARENESS,2025-12-10,42204,41686,1.012426,42,0.099517,1.745412,1.736975,73.307303,37.0,0,1.981278,17.0,0,4.312194,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_stories,NR
ALC - Árvore solidária,120236584388850075,OUTCOME_AWARENESS,2025-12-10,3082,3082,1.0,1,0.032446,5.051907,1.639165,5.051907,1.0,0,5.051907,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,54.0,14.0,9.0,6.0,instagram,feed,NR
ALC - Árvore solidária,120236584388850075,OUTCOME_AWARENESS,2025-12-10,23,23,1.0,0,0.0,0.0,0.869894,0.020008,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - Árvore solidária,120236584388850075,OUTCOME_AWARENESS,2025-12-10,2893,2893,1.0,2,0.069132,2.440921,1.687467,4.881843,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,25.0,9.0,3.0,1.0,instagram,instagram_reels,NR
ALC - Árvore solidária,120236584388850075,OUTCOME_AWARENESS,2025-12-10,10000,10000,1.0,15,0.15,1.102416,1.653624,16.536242,10.0,0,1.653624,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,80.0,30.0,1.0,,instagram,instagram_stories,NR
ALC - Cine Materna,120236688425640075,OUTCOME_AWARENESS,2025-12-10,4410,4410,1.0,5,0.113379,1.438,1.630385,7.19,3.0,0,2.396667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,134.0,38.0,20.0,12.0,instagram,feed,NR
ALC - Cine Materna,120236688425640075,OUTCOME_AWARENESS,2025-12-10,17,17,1.0,0,0.0,0.0,1.764706,0.03,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - Cine Materna,120236688425640075,OUTCOME_AWARENESS,2025-12-10,1717,1700,1.01,0,0.0,0.0,1.921957,3.3,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,17.0,9.0,7.0,4.0,instagram,instagram_reels,NR
ALC - Cine Materna,120236688425640075,OUTCOME_AWARENESS,2025-12-10,17095,16618,1.028704,19,0.111144,1.572105,1.747295,29.87,17.0,0,1.757059,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,170.0,93.0,2.0,2.0,instagram,instagram_stories,NR
ALC | Moda Feminina,120218457714640075,OUTCOME_AWARENESS,2025-12-11,1763,1763,1.0,2,0.113443,1.46,1.656268,2.92,1.0,0,2.92,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,30.0,12.0,10.0,6.0,instagram,feed,NR
ALC | Moda Feminina,120218457714640075,OUTCOME_AWARENESS,2025-12-11,9,9,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC | Moda Feminina,120218457714640075,OUTCOME_AWARENESS,2025-12-11,951,931,1.021482,0,0.0,0.0,1.913775,1.82,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,13.0,5.0,3.0,2.0,instagram,instagram_reels,NR
ALC | Moda Feminina,120218457714640075,OUTCOME_AWARENESS,2025-12-11,3173,3173,1.0,4,0.126064,1.255,1.582099,5.02,3.0,0,1.673333,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,24.0,1.0,1.0,,instagram,instagram_stories,NR
ALC | Moda masculina,120218468471470075,OUTCOME_AWARENESS,2025-12-11,709,709,1.0,0,0.0,0.0,1.636107,1.16,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,52.0,17.0,8.0,5.0,instagram,feed,NR
ALC | Moda masculina,120218468471470075,OUTCOME_AWARENESS,2025-12-11,11,11,1.0,0,0.0,0.0,4.545455,0.05,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,,,,instagram,instagram_explore,NR
ALC | Moda masculina,120218468471470075,OUTCOME_AWARENESS,2025-12-11,1204,1194,1.008375,0,0.0,0.0,1.403654,1.69,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,53.0,13.0,5.0,3.0,instagram,instagram_reels,NR
ALC | Moda masculina,120218468471470075,OUTCOME_AWARENESS,2025-12-11,3752,3697,1.014877,4,0.10661,1.61,1.716418,6.44,4.0,0,1.61,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,60.0,31.0,14.0,9.0,instagram,instagram_stories,NR
ALC - Lojas - Inauguração/ Gastronomia,120218470856850075,OUTCOME_AWARENESS,2025-12-11,1136,1121,1.013381,1,0.088028,2.05,1.804577,2.05,1.0,0,2.05,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,45.0,12.0,7.0,5.0,instagram,feed,NR
ALC - Lojas - Inauguração/ Gastronomia,120218470856850075,OUTCOME_AWARENESS,2025-12-11,11,11,1.0,0,0.0,0.0,0.909091,0.01,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,instagram_explore,NR
ALC - Lojas - Inauguração/ Gastronomia,120218470856850075,OUTCOME_AWARENESS,2025-12-11,548,548,1.0,1,0.182482,0.91,1.660584,0.91,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,14.0,7.0,5.0,1.0,instagram,instagram_reels,NR
ALC - Lojas - Inauguração/ Gastronomia,120218470856850075,OUTCOME_AWARENESS,2025-12-11,3067,2944,1.04178,11,0.358657,0.467273,1.675905,5.14,6.0,0,0.856667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,31.0,10.0,5.0,,instagram,instagram_stories,NR
ALC - Lojas - Diversão,120226684244550075,OUTCOME_AWARENESS,2025-12-11,528,528,1.0,0,0.0,0.0,1.609848,0.85,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,instagram,feed,NR
