plataforma,custo_total,receita_total,roas_7d,roas_30d,roas_total,tendencia_7d_vs_30d,cpa_total,conversoes_total,acao,motivo
Google Ads,508305.677758,11178.473885026,0.0,0.45904035645106367,0.021991636871599093,-1.0,0.2806182765177132,1811377.662445,DIMINUIR,ROAS em queda (-100% nos ultimos 7d vs 30d)
TikTok Ads,11489.11,0.0,0.0,0.0,0.0,0.0,0.11815452806515972,97238.0,DIMINUIR,ROAS 0.0x abaixo da media (0.0x)
Meta Ads,266328.56999999995,0.0,0.0,0.0,0.0,0.0,0.8726562208176464,305193.0,DIMINUIR,ROAS 0.0x abaixo da media (0.0x)
