data,plataforma,impressoes,cliques,custo,conversoes,receita,ctr,cpc,cpm,roas,cpa
2025-05-12,TikTok Ads,31023,49,72.85,0.0,0.0,0.16,1.49,2.35,0.0,0.0
2025-05-13,TikTok Ads,30681,55,72.87,0.0,0.0,0.18,1.32,2.38,0.0,0.0
2025-05-14,TikTok Ads,29653,61,72.76,0.0,0.0,0.21,1.19,2.45,0.0,0.0
2025-05-15,TikTok Ads,69820,67,145.76,0.0,0.0,0.1,2.18,2.09,0.0,0.0
2025-05-16,TikTok Ads,88312,69,185.99,0.0,0.0,0.08,2.7,2.11,0.0,0.0
2025-05-17,TikTok Ads,55747,57,115.85,0.0,0.0,0.1,2.03,2.08,0.0,0.0
2025-05-18,TikTok Ads,44406,74,88.82,0.0,0.0,0.17,1.2,2.0,0.0,0.0
2025-05-19,TikTok Ads,41091,78,87.02,0.0,0.0,0.19,1.12,2.12,0.0,0.0
2025-05-20,TikTok Ads,39354,51,87.96,0.0,0.0,0.13,1.72,2.24,0.0,0.0
2025-05-21,TikTok Ads,38855,70,86.97,0.0,0.0,0.18,1.24,2.24,0.0,0.0
2025-05-22,TikTok Ads,40902,48,87.02,0.0,0.0,0.12,1.81,2.13,0.0,0.0
2025-05-23,TikTok Ads,39568,50,86.1,0.0,0.0,0.13,1.72,2.18,0.0,0.0
2025-05-24,TikTok Ads,40022,76,85.49,0.0,0.0,0.19,1.12,2.14,0.0,0.0
2025-05-25,TikTok Ads,40027,49,86.41,0.0,0.0,0.12,1.76,2.16,0.0,0.0
2025-05-26,TikTok Ads,36802,36,85.01,0.0,0.0,0.1,2.36,2.31,0.0,0.0
2025-05-27,TikTok Ads,35638,51,85.12,0.0,0.0,0.14,1.67,2.39,0.0,0.0
2025-05-28,TikTok Ads,34828,49,83.96,0.0,0.0,0.14,1.71,2.41,0.0,0.0
2025-05-29,TikTok Ads,35378,39,82.86,0.0,0.0,0.11,2.12,2.34,0.0,0.0
2025-05-30,TikTok Ads,31799,40,78.7,0.0,0.0,0.13,1.97,2.47,0.0,0.0
2025-05-31,TikTok Ads,22314,51,69.46,0.0,0.0,0.23,1.36,3.11,0.0,0.0
2025-06-01,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-02,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-03,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-04,TikTok Ads,14505,18,35.02,0.0,0.0,0.12,1.95,2.41,0.0,0.0
2025-06-05,TikTok Ads,27327,37,69.65,0.0,0.0,0.14,1.88,2.55,0.0,0.0
2025-06-06,TikTok Ads,27096,38,79.51,0.0,0.0,0.14,2.09,2.93,0.0,0.0
2025-06-07,TikTok Ads,30685,42,81.05,0.0,0.0,0.14,1.93,2.64,0.0,0.0
2025-06-08,TikTok Ads,30089,32,79.45,0.0,0.0,0.11,2.48,2.64,0.0,0.0
2025-06-09,TikTok Ads,26882,35,75.13,0.0,0.0,0.13,2.15,2.79,0.0,0.0
2025-06-10,TikTok Ads,24673,33,74.24,0.0,0.0,0.13,2.25,3.01,0.0,0.0
2025-06-11,TikTok Ads,25712,39,74.76,0.0,0.0,0.15,1.92,2.91,0.0,0.0
2025-06-12,TikTok Ads,24008,39,67.84,0.0,0.0,0.16,1.74,2.83,0.0,0.0
2025-06-13,TikTok Ads,24045,35,64.81,0.0,0.0,0.15,1.85,2.7,0.0,0.0
2025-06-14,TikTok Ads,22802,43,57.81,0.0,0.0,0.19,1.34,2.54,0.0,0.0
2025-06-15,TikTok Ads,12554,11,32.8,0.0,0.0,0.09,2.98,2.61,0.0,0.0
2025-06-16,TikTok Ads,4880,0,9.82,0.0,0.0,0.0,0.0,2.01,0.0,0.0
2025-06-17,TikTok Ads,4498,0,9.45,0.0,0.0,0.0,0.0,2.1,0.0,0.0
2025-06-18,TikTok Ads,4195,0,9.44,0.0,0.0,0.0,0.0,2.25,0.0,0.0
2025-06-19,TikTok Ads,4592,0,10.13,0.0,0.0,0.0,0.0,2.21,0.0,0.0
2025-06-20,TikTok Ads,4016,0,8.74,0.0,0.0,0.0,0.0,2.18,0.0,0.0
2025-06-21,TikTok Ads,3819,0,8.32,0.0,0.0,0.0,0.0,2.18,0.0,0.0
2025-06-22,TikTok Ads,3925,0,8.13,0.0,0.0,0.0,0.0,2.07,0.0,0.0
