plataforma,impressoes,cliques,landing_page_views,sessoes_ga4,leads,add_to_cart,conversoes,receita
Google Ads,113010760,1807943,1536751.55,97585.0,0.0,0,1726032.7374219997,4473.0
Meta Ads,160960015,402386,73756.0,17997.0,92.0,0,266848.0,0.0
TikTok Ads,6336607,52070,44259.5,12484.0,0.0,0,52070.0,0.0
