plataforma,tipo,segmento,impressoes,cliques,custo,conversoes,cpa,ctr
Google Ads,faixa_etaria,503002,518,305,8.146914,117.693185,0.06922162910282359,58.88030888030889
Google Ads,faixa_etaria,503002,501,205,5.613655,81.728249,0.0686868380111753,40.91816367265469
Google Ads,faixa_etaria,503002,370,165,5.07645,66.991342,0.07577770273657154,44.5945945945946
Google Ads,faixa_etaria,503002,802,274,7.877817,135.763302,0.0580261151868566,34.1645885286783
Google Ads,faixa_etaria,503002,609,331,6.917908,129.017103,0.05362008477279171,54.35139573070607
Google Ads,faixa_etaria,503002,587,293,6.181969,160.277056,0.03857051754182458,49.91482112436116
Google Ads,faixa_etaria,503002,679,274,4.692237,101.456709,0.04624866158432165,40.35346097201767
Google Ads,faixa_etaria,503002,611,245,4.218044,94.226191,0.0447650908440096,40.098199672667754
Google Ads,faixa_etaria,503002,764,288,6.50189,108.90909,0.05970015909599465,37.696335078534034
Google Ads,faixa_etaria,503002,697,239,6.804337,99.583334,0.06832806983546062,34.28981348637016
Google Ads,faixa_etaria,503002,478,292,6.716868,152.309523,0.04410011841478881,61.08786610878661
Google Ads,faixa_etaria,503002,604,268,6.141934,134.189393,0.04577063702792068,44.370860927152314
Google Ads,faixa_etaria,503002,565,195,5.0329,91.116667,0.05523577810413104,34.51327433628318
Google Ads,faixa_etaria,503002,480,270,6.299603,126.88625,0.04964764109586342,56.25
Google Ads,faixa_etaria,503002,656,265,5.97565,102.75874,0.058152231138684646,40.396341463414636
Google Ads,faixa_etaria,503002,613,224,5.063046,86.722757,0.05838197694752716,36.541598694942905
Google Ads,faixa_etaria,503002,569,190,4.748394,80.411742,0.059051002775191715,33.391915641476274
Google Ads,faixa_etaria,503002,602,314,7.913018,139.14552,0.05686865089152709,52.159468438538205
Google Ads,faixa_etaria,503002,747,259,7.156324,109.189395,0.06554046755181672,34.67202141900937
Google Ads,faixa_etaria,503002,596,211,5.552884,76.246568,0.07282798617243992,35.40268456375839
Google Ads,faixa_etaria,503002,583,252,8.02699,112.943017,0.07107114909105004,43.22469982847341
Google Ads,faixa_etaria,503002,608,245,7.426611,95.970483,0.07738432451152716,40.29605263157895
Google Ads,faixa_etaria,503002,146,105,1.845256,46.104401,0.04002342422798205,71.91780821917808
Google Ads,faixa_etaria,503002,6,1,0.01,0.0,0.0,16.666666666666664
Google Ads,faixa_etaria,503002,723,409,5.750274,178.374191,0.03223714130257779,56.56984785615491
Google Ads,faixa_etaria,503002,671,248,5.299787,93.573386,0.05663776022810589,36.95976154992549
Google Ads,faixa_etaria,503002,391,224,2.882884,82.095237,0.03511633689540356,57.289002557544755
Google Ads,faixa_etaria,503002,747,264,4.059815,111.00606,0.03657291322653917,35.34136546184739
Google Ads,faixa_etaria,503002,808,273,5.133308,97.756275,0.052511288917258765,33.78712871287129
Google Ads,faixa_etaria,503002,548,191,3.34155,62.953218,0.05307989180155969,34.85401459854015
Google Ads,faixa_etaria,503002,836,265,5.257439,88.880334,0.059151881674972095,31.698564593301437
Google Ads,faixa_etaria,503002,720,402,6.156285,155.123562,0.03968633082316663,55.833333333333336
Google Ads,faixa_etaria,503002,656,304,4.736901,127.090909,0.03727175324554489,46.34146341463415
Google Ads,faixa_etaria,503002,913,371,5.247274,125.518838,0.041804673175830386,40.63526834611172
Google Ads,faixa_etaria,503002,697,304,4.032863,128.878356,0.03129201151510654,43.6154949784792
Google Ads,faixa_etaria,503002,455,159,2.183199,59.555196,0.03665841348251125,34.94505494505494
Google Ads,faixa_etaria,503002,395,117,1.737731,27.765316,0.06258639375831343,29.620253164556964
Google Ads,faixa_etaria,503002,433,149,3.735706,46.666667,0.08005084228535113,34.41108545034642
Google Ads,faixa_etaria,503002,600,251,10.666664,110.480267,0.09654813741534496,41.833333333333336
Google Ads,faixa_etaria,503002,595,197,7.390141,85.507576,0.08642673954410776,33.10924369747899
Google Ads,faixa_etaria,503002,357,145,9.914752,49.376813,0.20079773070813622,40.61624649859944
