plataforma,campanha,impressoes,custo,video_p25,video_p50,video_p75,video_p100,video_2s,video_6s
Meta Ads,ALC - Lojas Corredor Zara,580466,653.96,4424.0,1467.0,648.0,392.0,,
Meta Ads,ALC - GASTRONOMIA - BS,2937278,3881.09,,,,,,
Meta Ads,ALC - MINI DAY SPA,352921,500.0,1874.0,419.0,195.0,128.0,,
Meta Ads,ALC - UNIZUSHI + DULADU,760987,988.44,5763.0,1490.0,793.0,496.0,,
Meta Ads,ALC - PASSAPORTE ELAS,611637,1000.0,,,,,,
Meta Ads,ALC - Heroínas do K-pop,1571968,2499.93,,,,,,
Meta Ads,ALC - PROMO IPHONE,475627,705.79,11517.0,4132.0,2504.0,1755.0,,
Meta Ads,ALC - A casa mágica da Gabby,235448,350.0,,,,,,
Meta Ads,ALC - Programação para os pequenos no fds,30654,39.58,,,,,,
Meta Ads,ALC - UNIZUSHI + DULADU,804839,962.23,4365.0,1206.0,615.0,343.0,,
Meta Ads,ALC - PROMO IPHONE,1750759,2293.95,54857.0,17498.0,10053.0,6876.0,,
Meta Ads,ALC - Programação para os pequenos no fds,0,0.0,,,,,,
Meta Ads,TRAF - IPHONE,186776,999.88,1985.0,1000.0,663.0,497.0,,
Meta Ads,ALC -  New in: Louen,201646,243.36,,,,,,
Meta Ads,ALC - Orion Verso,98097,123.78,,,,,,
Meta Ads,ALC - LEGUEIROS,639196,903.87,,,,,,
Meta Ads,ALC - SHOULDER,262788,347.09,,,,,,
Meta Ads,ALC | A menina mágica,67287,85.41,,,,,,
Meta Ads,ALC - Golden,334873,499.96,2874.0,620.0,333.0,144.0,,
Meta Ads,ALC - PROMO MAES,68317,101.8,186.0,79.0,28.0,19.0,,
Meta Ads,TRAF - PROMO MAES,13275,107.28,2431.0,1169.0,712.0,498.0,,
Meta Ads,ALC - FERIADO,55622,96.81,,,,,,
Meta Ads,ALC- DIABO VESTE PRADA,7722,11.22,287.0,137.0,98.0,25.0,,
Meta Ads,ALC - LEGUEIROS,167550,262.74,,,,,,
Meta Ads,ALC - SHOULDER,0,0.0,,,,,,
Meta Ads,ALC | A menina mágica,0,0.0,,,,,,
Meta Ads,ALC - PROMO MAES,137995,204.18,1859.0,831.0,245.0,161.0,,
Meta Ads,TRAF - PROMO MAES,53818,212.7,509.0,215.0,134.0,101.0,,
Meta Ads,ALC - FERIADO,114622,153.19,,,,,,
Meta Ads,ALC- DIABO VESTE PRADA,99878,142.69,3542.0,1769.0,1051.0,220.0,,
Meta Ads,ALC - REABERTURA ZARA,14896,24.31,238.0,98.0,66.0,34.0,,
Meta Ads,ALC - Gastronomia — AON,367293,631.69,4558.0,1510.0,625.0,381.0,,
Meta Ads,ALC - Promo Natal 25,421564,654.81,5633.0,1538.0,779.0,492.0,,
Meta Ads,TRAF - Promo Natal 25,207743,659.75,30110.0,12250.0,6632.0,4286.0,,
Meta Ads,ALC - Arvore Solidária,161363,273.56,3114.0,992.0,567.0,401.0,,
Meta Ads,ALC - Mercado Shelf,72106,126.0,508.0,94.0,60.0,36.0,,
Meta Ads,ENG - Decoração Natal,16603,115.95,498.0,199.0,125.0,74.0,,
Meta Ads,ALC- Black Friday NK,495032,999.95,416.0,207.0,104.0,38.0,,
Meta Ads,ALC- Espetáculo de Natal,515613,1500.0,13.0,5.0,3.0,2.0,,
Meta Ads,VISUALIZAÇOES - ESPETACULO DE NATAL,34240,499.96,9132.0,6068.0,2871.0,2386.0,,
Meta Ads,ALC - Gastronomia — AON,693253,929.38,4657.0,1773.0,620.0,401.0,,
Meta Ads,ALC - Promo Natal 25,1292803,1638.63,4858.0,1583.0,861.0,540.0,,
Meta Ads,TRAF - Promo Natal 25,394773,1640.13,20604.0,8283.0,4668.0,2384.0,,
Meta Ads,ALC - Arvore Solidária,149880,226.42,16.0,3.0,2.0,2.0,,
Meta Ads,ALC - Mercado Shelf,114148,173.95,806.0,139.0,72.0,42.0,,
Meta Ads,ENG - Decoração Natal,19696,127.73,597.0,233.0,145.0,85.0,,
Meta Ads,ALC- Black Friday NK,0,0.0,,,,,,
Meta Ads,ALC- Inauguração Brasileirisse - Empréstimo NR,83873,132.73,689.0,315.0,202.0,147.0,,
Meta Ads,ALC - Natal NR - Empréstimo,76463,119.6,1354.0,497.0,245.0,152.0,,
Meta Ads,ALC - Feira Pet,182205,300.0,,,,,,
Meta Ads,ALC - Carrossel das Renas,330148,499.99,5469.0,3464.0,1401.0,359.0,,
Meta Ads,ALC - Decoração itens de Natal,316442,499.99,1543.0,210.0,107.0,62.0,,
Meta Ads,ALC - LOOKS DE FIM DE ANO,155036,199.93,682.0,113.0,56.0,33.0,,
Meta Ads,ALC - Amigo Secreto no NK,167900,249.98,321.0,136.0,105.0,41.0,,
Meta Ads,ALC - McDonalds,153231,199.92,1434.0,353.0,181.0,84.0,,
Meta Ads,ALC - Arezzo,231126,299.98,13701.0,4727.0,2330.0,1616.0,,
Meta Ads,ALC - Gastronomia — AON,892809,925.19,6932.0,3060.0,1151.0,731.0,,
Meta Ads,ALC - Promo Natal 25,751465,616.46,2818.0,1035.0,503.0,322.0,,
Meta Ads,TRAF - Promo Natal 25,126359,495.0,7775.0,2639.0,1865.0,1498.0,,
