plataforma,tipo,severidade,mensagem,metrica,valor_atual,valor_media
Meta Ads,saturacao_ctr,Media,"CTR em queda consistente (0.41% medio, tendencia negativa)",ctr,1.126877,0.4074305554980061
Google Ads,anomalia_cpa,Alta,CPA subiu 4395% vs media movel 7d,cpa,47.974515760869565,1.0673132659717355
