hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
0,Google Ads,180,2,1.157416,14.0,1.1111111111111112,0.578708
0,Google Ads,142,4,0.903298,3.0,2.8169014084507045,0.2258245
0,Google Ads,6,0,0.0,0.0,0.0,0.0
0,Google Ads,3,2,1.05,0.0,66.66666666666666,0.525
0,Google Ads,3,0,0.0,0.0,0.0,0.0
0,Google Ads,4,0,0.0,0.0,0.0,0.0
0,Google Ads,72,1,0.514886,5.0,1.3888888888888888,0.514886
0,Google Ads,72,0,0.381765,1.0,0.0,0.0
0,Google Ads,223,2,0.574492,11.0,0.8968609865470852,0.287246
0,Google Ads,1,0,0.0,0.0,0.0,0.0
0,Google Ads,1,0,0.0,0.0,0.0,0.0
0,Google Ads,1123,1,3.376625,0.0,0.08904719501335707,3.376625
0,Google Ads,4861,8,23.7275,49.0,0.16457519029006376,2.9659375
0,Google Ads,60,5,0.6,1.40909,8.333333333333332,0.12
0,Google Ads,42,1,0.053287,0.0,2.380952380952381,0.053287
0,Google Ads,13,0,0.012258,0.0,0.0,0.0
0,Google Ads,126,4,0.199465,0.0,3.1746031746031744,0.04986625
0,Google Ads,1392,7,5.982363,8.0,0.5028735632183908,0.8546232857142858
0,Google Ads,6736,7,36.218435,103.0,0.10391923990498812,5.174062142857143
0,Google Ads,1073,3,5.968195,19.0,0.27958993476234856,1.9893983333333332
0,Google Ads,37,6,1.37,1.0,16.216216216216218,0.22833333333333336
0,Google Ads,109,27,1.25,9.333333,24.770642201834864,0.046296296296296294
0,Google Ads,61,0,0.023819,0.0,0.0,0.0
0,Google Ads,141,5,0.122412,0.0,3.546099290780142,0.0244824
0,Google Ads,22,1,0.163971,0.0,4.545454545454546,0.163971
0,Google Ads,3724,7,23.099286,73.0,0.18796992481203006,3.2998979999999998
0,Google Ads,3379,5,23.048387,18.0,0.1479727730097662,4.609677400000001
0,Google Ads,90,18,1.13579,6.583334,20.0,0.06309944444444444
0,Google Ads,19,3,0.356498,1.0,15.789473684210526,0.11883266666666666
0,Google Ads,43,13,1.185049,1.0,30.23255813953488,0.09115761538461539
0,Google Ads,7938,27,45.140791,12.0,0.3401360544217687,1.6718811481481481
0,Google Ads,66,1,0.110224,2.0,1.5151515151515151,0.110224
0,Google Ads,336,4,1.83044,10.0,1.1904761904761905,0.45761
0,Google Ads,2177,5,8.015656,1.0,0.22967386311437757,1.6031312
