plataforma,dispositivo,impressoes,cliques,custo,conversoes,sessoes,usuarios,ctr
Google Ads,OTHER,14,1,0.217961,0.0,,,7.142857142857142
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,14,1,0.278329,0.0,,,7.142857142857142
Google Ads,OTHER,2,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,3,0,0.0,0.0,,,0.0
Google Ads,OTHER,27,1,0.423353,0.0,,,3.7037037037037033
Google Ads,OTHER,17,0,0.0,0.0,,,0.0
Google Ads,OTHER,28,0,0.0,0.0,,,0.0
Google Ads,OTHER,15,1,0.679391,1.0,,,6.666666666666667
Google Ads,OTHER,4,1,0.399065,0.0,,,25.0
Google Ads,OTHER,20,0,0.0,0.0,,,0.0
Google Ads,OTHER,1,0,0.004415,0.0,,,0.0
Google Ads,OTHER,1,0,0.003859,0.0,,,0.0
Google Ads,OTHER,1,0,0.010824,0.0,,,0.0
Google Ads,OTHER,1,0,0.0,0.0,,,0.0
Google Ads,OTHER,6,0,0.040645,0.0,,,0.0
Google Ads,DESKTOP,60,3,0.49,2.512196,,,5.0
Google Ads,DESKTOP,27,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,579,3,1.042835,19.0,,,0.5181347150259068
Google Ads,DESKTOP,886,2,3.027542,23.0,,,0.2257336343115124
Google Ads,DESKTOP,1626,2,3.539707,27.0,,,0.12300123001230012
Google Ads,DESKTOP,97,0,0.091897,0.0,,,0.0
Google Ads,DESKTOP,132,0,0.401628,3.0,,,0.0
Google Ads,DESKTOP,54,1,0.4,0.0,,,1.8518518518518516
Google Ads,DESKTOP,15,2,0.86,1.0,,,13.333333333333334
Google Ads,DESKTOP,1171,0,2.311245,19.0,,,0.0
Google Ads,DESKTOP,99,0,0.272265,0.0,,,0.0
Google Ads,DESKTOP,178,0,0.416328,0.0,,,0.0
Google Ads,DESKTOP,173,0,0.4269,1.0,,,0.0
Google Ads,DESKTOP,17,1,0.068285,1.0,,,5.88235294117647
Google Ads,DESKTOP,18,2,0.84,6.0,,,11.11111111111111
Google Ads,DESKTOP,1,0,0.000404,0.0,,,0.0
Google Ads,DESKTOP,1238,7,2.172559,25.0,,,0.5654281098546041
Google Ads,DESKTOP,1342,2,3.203142,54.0,,,0.14903129657228018
Google Ads,DESKTOP,154,0,0.537705,0.0,,,0.0
Google Ads,DESKTOP,859,0,3.192854,17.0,,,0.0
Google Ads,DESKTOP,269,0,1.102478,5.0,,,0.0
Google Ads,DESKTOP,31,0,0.078732,0.0,,,0.0
Google Ads,DESKTOP,12,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,177,1,0.412618,3.0,,,0.5649717514124294
Google Ads,DESKTOP,71,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,13,2,0.84,1.0,,,15.384615384615385
Google Ads,DESKTOP,692,4,1.053025,23.0,,,0.5780346820809248
Google Ads,DESKTOP,724,0,2.361644,13.0,,,0.0
Google Ads,DESKTOP,1589,0,3.710331,43.0,,,0.0
Google Ads,DESKTOP,136,0,0.129864,0.0,,,0.0
Google Ads,DESKTOP,202,0,0.578382,0.0,,,0.0
Google Ads,DESKTOP,40,4,1.134616,11.0,,,10.0
Google Ads,DESKTOP,17,4,1.04,2.0,,,23.52941176470588
Google Ads,DESKTOP,1405,2,3.032153,31.0,,,0.1423487544483986
Google Ads,DESKTOP,214,0,0.430127,0.0,,,0.0
Google Ads,DESKTOP,239,0,0.492166,1.0,,,0.0
Google Ads,DESKTOP,174,0,0.491778,0.0,,,0.0
Google Ads,DESKTOP,17,4,0.35,1.0,,,23.52941176470588
Google Ads,DESKTOP,29,1,0.47,0.0,,,3.4482758620689653
Google Ads,DESKTOP,1169,1,1.831188,13.0,,,0.0855431993156544
Google Ads,DESKTOP,1201,0,2.813921,24.0,,,0.0
Google Ads,DESKTOP,161,0,0.482485,0.0,,,0.0
Google Ads,DESKTOP,2,0,0.001693,0.0,,,0.0
Google Ads,DESKTOP,814,0,3.096834,18.0,,,0.0
Google Ads,DESKTOP,218,0,0.831872,4.0,,,0.0
Google Ads,DESKTOP,47,0,0.092717,0.0,,,0.0
Google Ads,DESKTOP,19,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,87,0,0.199772,0.0,,,0.0
Google Ads,DESKTOP,216,6,0.574114,2.0,,,2.7777777777777777
Google Ads,DESKTOP,59,2,0.52,1.0,,,3.389830508474576
Google Ads,DESKTOP,1311,5,2.338208,38.0,,,0.38138825324180015
