ano,semana,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2025,1,Google Ads,488986,8554,2173.679779,17741.95962,33.0,0.015181629013994705,0.12251632996333016,1.749334336770378
2025,1,Meta Ads,2624191,11900,3564.4699999999993,8285.0,0.0,0.0,0.430231744115872,0.45347308942070147
2025,1,TikTok Ads,84651,4307,203.26,4307.0,0.0,0.0,0.047192941722776875,5.087949344957531
2025,37,Google Ads,865433,16458,2668.1796360000003,24801.18055,69.0,0.025860327793911696,0.10758276730500235,1.9017070067815764
2025,37,TikTok Ads,121070,0,317.18,0.0,0.0,0.0,0.0,0.0
2025,38,Google Ads,722367,16083,3155.3469059999998,26037.536932,109.0,0.03454453765217789,0.12118453885406091,2.2264306093716906
2025,38,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,39,Google Ads,944785,18022,7184.15472,27704.134757,94.003747,0.01308487228682625,0.25931705801368804,1.907523934016734
2025,39,TikTok Ads,44547,0,105.22,0.0,0.0,0.0,0.0,0.0
2025,40,Google Ads,902513,18368,7970.86572,28744.997502,130.00168,0.016309606078773586,0.2772957527460355,2.035206141074976
2025,40,TikTok Ads,129412,0,281.85,0.0,0.0,0.0,0.0,0.0
2025,41,Google Ads,1627111,28254,11799.731971000001,40656.375622,229.005086,0.019407651509612413,0.2902307889101389,1.736451907706358
2025,41,TikTok Ads,119258,0,256.61,0.0,0.0,0.0,0.0,0.0
2025,42,Google Ads,2730791,36398,16723.936632,41738.541453,312.019275,0.018657047193241242,0.40068330252584694,1.3328738815969439
2025,42,TikTok Ads,102204,0,227.64000000000001,0.0,0.0,0.0,0.0,0.0
2025,43,Google Ads,1894544,25829,11130.954753,31847.176297,369.0,0.033150795074478906,0.3495115123926555,1.363335979528583
2025,43,TikTok Ads,53233,0,128.31,0.0,0.0,0.0,0.0,0.0
2025,44,Google Ads,1468391,28675,9201.896106,22383.596659,352.970212,0.038358421778947216,0.4110999785327217,1.9528177440477368
2025,44,TikTok Ads,95617,50,259.71,50.0,0.0,0.0,5.1941999999999995,0.05229195645125867
2025,45,Google Ads,1355856,30227,9646.869334,28061.085647,280.0,0.029024960358191163,0.34378104451676283,2.2293665403995706
2025,45,TikTok Ads,154211,72,416.15999999999997,72.0,0.0,0.0,5.779999999999999,0.04668927638106231
2025,46,Google Ads,1915224,37370,14593.347928000001,35951.078009000004,210.0,0.014390118089151886,0.4059224016689207,1.9512077960593641
2025,46,Meta Ads,4975995,15139,10851.26,9862.0,0.0,0.0,1.1003102818900832,0.3042406594058073
2025,46,TikTok Ads,122410,6196,543.99,6196.0,0.0,0.0,0.08779696578437701,5.061677967486316
2025,47,Google Ads,1878517,37184,9928.848749,43667.63266,309.0,0.031121432888291445,0.22737318567981193,1.97943377675049
2025,47,Meta Ads,4601037,24172,9560.78,15118.0,0.0,0.0,0.632410371742294,0.5253598264912889
2025,47,TikTok Ads,107104,5989,498.65,5989.0,0.0,0.0,0.08326097846051093,5.591761278757096
2025,48,Google Ads,1693626,22133,9001.691701,47561.489943,309.0,0.03432688102011682,0.18926429158943642,1.3068410617220094
2025,48,Meta Ads,7864154,23227,20193.68,15040.0,0.0,0.0,1.3426648936170213,0.2953528122669012
2025,48,TikTok Ads,195759,5762,754.0,5762.0,0.0,0.0,0.1308573412009719,2.9434151175680303
2025,49,Google Ads,2024882,14921,10871.693929000001,48821.674554,81.0,0.007450540875137618,0.22268170906295295,0.7368824454955893
2025,49,Meta Ads,3110440,10368,5701.63,7154.0,0.0,0.0,0.7969849035504613,0.33332904669435837
2025,49,TikTok Ads,172508,6840,592.35,6840.0,0.0,0.0,0.08660087719298246,3.9650335056924897
2025,50,Google Ads,2178609,14485,12512.462247,48946.881196,67.0,0.00535466151085203,0.25563349372344757,0.6648737795538346
2025,50,Meta Ads,5163356,18021,9889.56,12430.0,0.0,0.0,0.7956202735317779,0.3490171895952942
2025,50,TikTok Ads,209067,6932,668.4,6932.0,0.0,0.0,0.09642238892094633,3.3156834890250493
2025,51,Google Ads,1215124,13155,7593.621628,40411.388476,84.0,0.011061915396240758,0.18790796145274224,1.0826055612431325
2025,51,Meta Ads,5611896,22189,10549.73,15987.0,0.0,0.0,0.6598942891099018,0.3953922168194136
2025,51,TikTok Ads,190775,6324,584.86,6324.0,0.0,0.0,0.09248260594560405,3.3148997510155946
2025,52,Google Ads,1081572,17058,5577.111231,37459.924323,70.0,0.012551300682494852,0.14888207415773427,1.5771488167223264
2025,52,Meta Ads,6557502,28527,10030.76,20687.0,0.0,0.0,0.4848822932276309,0.4350284605326845
2025,52,TikTok Ads,210242,7649,565.99,7649.0,0.0,0.0,0.07399529350241862,3.6381883733982745
2026,1,Google Ads,138161,2796,661.544705,4114.975093999999,6.0,0.009069681844101526,0.16076517837607113,2.0237259429216636
2026,1,Meta Ads,3740762,17091,3847.38,12132.0,0.0,0.0,0.31712660731948566,0.4568855222545567
2026,1,TikTok Ads,68,6,0.0,6.0,0.0,0.0,0.0,8.823529411764707
2026,2,Google Ads,2543515,50080,11906.819449,43921.387225,47.0,0.003947317770401509,0.27109388389769834,1.9689288248742391
2026,2,Meta Ads,6176404,16226,8735.47,11273.0,0.0,0.0,0.7749019781779473,0.2627094989252646
