data,shopping,shopping_sigla,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2025-12-18,NS,NS,Meta Ads,186863,637,346.33000000000004,0.0,0.0,0.0,0.0,0.3408914552372594
2025-12-19,GERAL,GERAL,Google Ads,126111,1611,903.147636,5408.837662,10.0,0.01107238684063831,0.1669762881487642,1.277446059423841
2025-12-19,BS,BS,Meta Ads,59681,356,148.05,0.0,0.0,0.0,0.0,0.5965047502555252
2025-12-19,GS,GS,Meta Ads,98695,257,203.26000000000002,0.0,0.0,0.0,0.0,0.26039819646385326
2025-12-19,NR,NR,Meta Ads,96934,370,173.89000000000001,0.0,0.0,0.0,0.0,0.3817030144221842
2025-12-19,CS,CS,Meta Ads,197071,701,414.53999999999996,0.0,0.0,0.0,0.0,0.3557093636303667
2025-12-19,NS,NS,Meta Ads,198376,712,373.04999999999995,0.0,0.0,0.0,0.0,0.35891438480461346
2025-12-20,BS,BS,Meta Ads,71837,473,170.25,0.0,0.0,0.0,0.0,0.6584350682795774
2025-12-20,CS,CS,Meta Ads,232603,887,471.71000000000004,0.0,0.0,0.0,0.0,0.3813364402006853
2025-12-20,GS,GS,Meta Ads,113260,322,226.46,0.0,0.0,0.0,0.0,0.2843016069221261
2025-12-20,NR,NR,Meta Ads,133894,466,226.23,0.0,0.0,0.0,0.0,0.3480365064902087
2025-12-20,NS,NS,Meta Ads,223641,827,410.18,0.0,0.0,0.0,0.0,0.36978908160847074
2025-12-20,GERAL,GERAL,Google Ads,139804,2139,943.3588809999999,6248.678242,12.0,0.012720503555634626,0.15096934815098773,1.5299991416554606
2025-12-21,BS,BS,Meta Ads,67373,468,157.20999999999998,0.0,0.0,0.0,0.0,0.6946402861680495
2025-12-21,CS,CS,Meta Ads,253858,929,409.56000000000006,0.0,0.0,0.0,0.0,0.3659526191808019
2025-12-21,GS,GS,Meta Ads,130094,342,227.61,0.0,0.0,0.0,0.0,0.26288683567266746
2025-12-21,GERAL,GERAL,Google Ads,126134,2394,842.511051,5406.592812000001,22.0,0.026112417129588488,0.15583031315582635,1.8979815117256251
2025-12-21,NR,NR,Meta Ads,102526,531,159.73999999999998,0.0,0.0,0.0,0.0,0.5179174063164466
2025-12-21,NS,NS,Meta Ads,204200,819,361.5,0.0,0.0,0.0,0.0,0.40107737512242897
2025-12-22,GERAL,GERAL,Google Ads,143444,2143,807.2515410000001,6289.949578,5.0,0.00619385624684735,0.12833990654288838,1.4939628008142551
2025-12-22,NS,NS,Meta Ads,164546,767,286.90999999999997,0.0,0.0,0.0,0.0,0.4661310514992768
2025-12-22,GS,GS,Meta Ads,115833,343,202.98999999999998,0.0,0.0,0.0,0.0,0.29611596004592816
2025-12-22,CS,CS,Meta Ads,228556,789,384.15,0.0,0.0,0.0,0.0,0.3452108017291167
2025-12-22,BS,BS,Meta Ads,65657,513,149.76999999999998,0.0,0.0,0.0,0.0,0.7813332927182174
2025-12-22,NR,NR,Meta Ads,77506,399,114.06,0.0,0.0,0.0,0.0,0.5147988542822491
2025-12-23,GERAL,GERAL,Google Ads,145409,2316,835.0695669999999,5568.548153,9.0,0.010777545195824387,0.14996181123981384,1.5927487294459075
2025-12-23,BS,BS,Meta Ads,62213,462,145.23000000000002,0.0,0.0,0.0,0.0,0.7426100654204105
2025-12-23,CS,CS,Meta Ads,218316,738,428.61,0.0,0.0,0.0,0.0,0.33804210410597485
2025-12-23,GS,GS,Meta Ads,108845,329,204.66000000000003,0.0,0.0,0.0,0.0,0.3022646883182507
2025-12-23,NR,NR,Meta Ads,66633,389,113.45,0.0,0.0,0.0,0.0,0.583794816382273
2025-12-23,NS,NS,Meta Ads,160781,689,280.39,0.0,0.0,0.0,0.0,0.4285332222090919
2025-12-24,GS,GS,Meta Ads,121717,332,209.78000000000003,0.0,0.0,0.0,0.0,0.27276387028927757
2025-12-24,NR,NR,Meta Ads,74048,435,120.21000000000002,0.0,0.0,0.0,0.0,0.5874567847882455
2025-12-24,NS,NS,Meta Ads,176128,803,288.41999999999996,0.0,0.0,0.0,0.0,0.45591842296511625
2025-12-24,GERAL,GERAL,Google Ads,152515,2212,765.111141,4086.246491,12.0,0.015683995901975764,0.18724057461662313,1.4503491459856406
