localizacao,plataforma,impressoes,cliques,custo,conversoes,ctr,cpa
,Google Ads,65,9,6.682236,3.0,13.846153846153847,2.2274119999999997
,Google Ads,216,40,4.999179,31.0,18.51851851851852,0.16126383870967742
,Google Ads,38,5,4.325382,3.0,13.157894736842104,1.441794
,Google Ads,117,16,4.218159,14.0,13.675213675213676,0.30129707142857143
,Google Ads,6,3,2.684792,1.0,50.0,2.684792
,Google Ads,38,4,2.010336,3.0,10.526315789473683,0.670112
,Google Ads,60,15,1.582254,19.907407,25.0,0.07948066767309274
,Google Ads,73,16,2.966809,23.0,21.91780821917808,0.12899169565217392
,Google Ads,29,0,0.104835,0.0,0.0,0.0
,Google Ads,490,22,3.920816,21.0,4.489795918367347,0.1867055238095238
,Google Ads,52373,18,114.681459,1036.0,0.034368854180589235,0.110696388996139
,Google Ads,1560,0,4.512027,5.0,0.0,0.9024053999999999
,Google Ads,1753,2,4.876777,6.0,0.11409013120365087,0.8127961666666667
,Google Ads,859,106,45.633092,127.544354,12.339930151338766,0.3577821406347787
,Google Ads,274,21,9.809203,23.631019,7.664233576642336,0.41509860408474136
,Google Ads,1529,2,4.994992,4.0,0.13080444735120994,1.248748
,Google Ads,49,0,0.147782,0.0,0.0,0.0
,Google Ads,950,113,51.699483,173.003996,11.894736842105264,0.29883403964842525
,Google Ads,130,4,1.188285,10.0,3.076923076923077,0.1188285
,Google Ads,1,0,0.0,0.0,0.0,0.0
,Google Ads,810,21,15.020762,17.0,2.5925925925925926,0.8835742352941176
,Google Ads,691,13,26.839452,8.0,1.881331403762663,3.3549315
,Google Ads,330,6,11.49701,8.0,1.8181818181818181,1.43712625
,Google Ads,517,17,46.68511,37.0,3.2882011605415857,1.2617597297297298
,Google Ads,11,0,0.021325,0.0,0.0,0.0
,Google Ads,5155,62,40.039446,433.0,1.2027158098933075,0.09246985219399538
,Google Ads,22380,6,51.326629,644.0,0.026809651474530835,0.07969973447204969
,Google Ads,7637,67,88.927489,312.0,0.8773078433940028,0.28502400320512816
,Google Ads,19,1,0.151649,2.0,5.263157894736842,0.0758245
,Google Ads,3,0,0.0,0.0,0.0,0.0
,Google Ads,1,0,0.001503,0.0,0.0,0.0
,Google Ads,1,1,0.341775,0.0,100.0,0.0
