campaign_id,campaign_name,objective_type,status,budget,shopping,shopping_sigla
1816174151943202,Community interaction - Black Friday ,ENGAGEMENT,DISABLE,100.0,Nacoes Shopping,NS
1815433664760850,Reach - Criativos Novembro,REACH,DISABLE,683.0,Nacoes Shopping,NS
1815433202016337,Traffic - Natal 2,TRAFFIC,DISABLE,300.0,Nacoes Shopping,NS
1815093378942994,Traffic - Promo Natal,TRAFFIC,DISABLE,50.0,Nacoes Shopping,NS
1814982629549185,Interação com a comunidade - Novembro,ENGAGEMENT,DISABLE,50.0,Nacoes Shopping,NS
1814982165049377,Alcance - Vídeos Novembro,REACH,DISABLE,50.0,Nacoes Shopping,NS
1814439736065074,Alcance - Chegada do papai noel NS ,REACH,DISABLE,80.0,Nacoes Shopping,NS
1811358948673554,Tráfego - App instal - NS,TRAFFIC,DISABLE,80.0,Nacoes Shopping,NS
1810464998160434,Interação com a comunidade - Shakepistache ,ENGAGEMENT,DISABLE,200.0,Nacoes Shopping,NS
1810464590019617,Alcance - Milkmoo,REACH,DISABLE,280.0,Nacoes Shopping,NS
1810109298355250,Promo Natura 2024 - Tráfego,TRAFFIC,DISABLE,1000.0,Nacoes Shopping,NS
1810108348443697,Promo Natura 2024 - Alcance,REACH,DISABLE,1000.0,Nacoes Shopping,NS
1809919349622786,Alcance - Milkmoo,REACH,DISABLE,280.0,Nacoes Shopping,NS
1809919004666930,Interação com a comunidade - Shake Pistache ,ENGAGEMENT,DISABLE,200.0,Nacoes Shopping,NS
1807304475777041,NSpromopais24engaja,ENGAGEMENT,DISABLE,600.0,Nacoes Shopping,NS
1806749763596289,NSpromopais24,TRAFFIC,DISABLE,150.0,Nacoes Shopping,NS
1803766128488498,NSMalvado24,VIDEO_VIEWS,DISABLE,300.0,Nacoes Shopping,NS
1800846207854594,NSnamorados24II,VIDEO_VIEWS,DISABLE,70.0,Nacoes Shopping,NS
1800600888459297,NSnamorados24,VIDEO_VIEWS,DISABLE,60.0,Nacoes Shopping,NS
1797496106400786,NS maes 24,VIDEO_VIEWS,DISABLE,53.0,Nacoes Shopping,NS
1793884858893329,Musical Páscoa 24,VIDEO_VIEWS,DISABLE,300.0,Nacoes Shopping,NS
1793877151496257,Gigante em diversão,ENGAGEMENT,DISABLE,0.0,Nacoes Shopping,NS
1790987037231105,NS Castelo Inflável,VIDEO_VIEWS,DISABLE,0.0,Nacoes Shopping,NS
1788460577402897,Mega Sale 2024,VIDEO_VIEWS,DISABLE,130.0,Nacoes Shopping,NS
