campaign_id,stat_time_day,video_views_p75,video_views_p50,average_video_play_per_user,video_watched_2s,video_watched_6s,video_views_p25,total_complete_payment_rate,cost_per_conversion,engaged_view,clicks,conversion_rate,impressions,cpc,engaged_view_15s,video_views_p100,video_play_actions,ctr,average_video_play,conversion,spend,cpm,shopping,shopping_sigla,campaign_name,objective_type
1863928955315249,2026-05-28 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1866441986593986,2026-06-06 00:00:00,10,22,1.43,1203,164,61,0.0,0.0,172,24,0.0,15679,1.25,56,7,15565,0.15,1.18,0,29.94,1.91,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866441986593986,2026-06-09 00:00:00,18,30,1.53,1149,167,70,0.0,0.0,170,30,0.0,14551,0.94,62,15,14420,0.21,1.24,0,28.17,1.94,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866441986593986,2026-05-30 00:00:00,31,51,1.12,1017,160,121,0.0,0.0,176,32,0.0,16368,1.05,69,20,16329,0.2,1.11,0,33.67,2.06,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866451828239378,2026-06-14 00:00:00,30,59,1.03,502,83,178,0.0,0.0,88,0,0.0,7783,0.0,22,16,7738,0.0,1.03,0,11.51,1.48,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866451828239378,2026-06-04 00:00:00,30,55,1.04,445,83,159,0.0,0.0,79,0,0.0,7190,0.0,18,17,7181,0.0,1.03,0,13.25,1.84,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866451636143266,2026-06-09 00:00:00,319,644,29.19,2311,2190,1924,0.0,0.0,3261,1388,0.0,5541,0.02,1745,217,4920,25.05,6.72,0,26.54,4.79,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1866451636143266,2026-05-30 00:00:00,451,925,29.48,2850,2740,2521,0.0,0.0,3929,1451,0.0,5144,0.02,2122,289,4599,28.21,9.19,0,34.94,6.79,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1866451636143266,2026-06-02 00:00:00,488,919,35.13,2997,2829,2552,0.0,0.0,4189,1706,0.0,5986,0.02,2304,343,5588,28.5,7.89,0,33.38,5.58,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1866451828239378,2026-06-11 00:00:00,24,54,1.08,393,73,148,0.0,0.0,75,0,0.0,6397,0.0,15,12,6364,0.0,1.07,0,11.71,1.83,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866451828239378,2026-06-01 00:00:00,49,83,1.18,644,115,238,0.0,0.0,112,0,0.0,8189,0.0,40,36,8177,0.0,1.17,0,13.04,1.59,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
