stat_time_day,campaign_id,impressions,total_complete_payment_rate,shares,follows,clicks_on_music_disc,cpm,conversion,conversion_rate,cpc,profile_visits,likes,clicks,ctr,spend,cost_per_conversion,comments,shopping,shopping_sigla,campaign_name,objective_type
2025-04-08 00:00:00,1828407150156946,5871,0.0,2,2,0,1.63,0,0.0,0.0,6,8,0,0.0,9.57,0.0,1,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-21 00:00:00,1828407150156946,6269,0.0,1,0,0,1.32,0,0.0,0.0,8,1,0,0.0,8.29,0.0,1,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-08 00:00:00,1828314519850002,5225,0.0,0,1,0,1.67,0,0.0,0.0,8,11,0,0.0,8.72,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-03-28 00:00:00,1827046369261585,9376,0.0,3,2,0,4.24,0,0.0,0.0,30,52,0,0.0,39.76,0.0,0,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
2025-04-06 00:00:00,1823040324441121,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Fev,REACH
2025-03-31 00:00:00,1824583004169233,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Outback ,REACH
2025-04-02 00:00:00,1827595524859954,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
2025-04-15 00:00:00,1828314519850002,4428,0.0,0,0,0,1.68,0,0.0,0.0,3,10,0,0.0,7.44,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-04-16 00:00:00,1828314519850002,4928,0.0,0,1,0,1.62,0,0.0,0.0,8,8,0,0.0,8.0,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-03-26 00:00:00,1827595524859954,9359,0.0,0,6,0,3.96,0,0.0,0.0,20,10,0,0.0,37.02,0.0,1,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
2025-04-09 00:00:00,1828407150156946,5328,0.0,1,1,0,1.73,0,0.0,0.0,5,8,0,0.0,9.2,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-04-22 00:00:00,1828407150156946,5453,0.0,1,3,0,1.51,0,0.0,0.0,7,7,0,0.0,8.25,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-03-25 00:00:00,1827595014894625,1319,0.0,0,5,0,9.67,0,0.0,0.0,5,39,0,0.0,12.76,0.0,0,Nacoes Shopping,NS,ENG | Outback ,ENGAGEMENT
2025-04-13 00:00:00,1824583004169233,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ALC - Outback ,REACH
2025-04-01 00:00:00,1827595014894625,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,ENG | Outback ,ENGAGEMENT
2025-04-09 00:00:00,1828314519850002,5701,0.0,0,2,0,1.62,0,0.0,0.0,11,12,0,0.0,9.24,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
