age,stat_time_day,cost_per_conversion,cpm,conversion_rate,spend,conversion,cpc,impressions,clicks,ctr,shopping,shopping_sigla
AGE_45_54,2026-08-09 00:00:00,0.0,2.49,0.0,6.59,0,0.66,2644,10,0.38,Nacoes Shopping,NS
AGE_55_100,2026-08-09 00:00:00,0.0,1.62,0.0,3.7,0,3.7,2286,1,0.04,Nacoes Shopping,NS
NONE,2026-08-10 00:00:00,0.0,2.86,0.0,0.04,0,0.0,14,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-10 00:00:00,0.0,2.27,0.0,17.46,0,1.94,7689,9,0.12,Nacoes Shopping,NS
AGE_25_34,2026-08-10 00:00:00,0.0,2.32,0.0,12.59,0,0.6,5426,21,0.39,Nacoes Shopping,NS
AGE_35_44,2026-08-10 00:00:00,0.0,7.0,0.0,27.5,0,2.75,3931,10,0.25,Nacoes Shopping,NS
AGE_45_54,2026-08-10 00:00:00,0.0,1.66,0.0,4.17,0,0.7,2517,6,0.24,Nacoes Shopping,NS
AGE_55_100,2026-08-10 00:00:00,0.0,1.51,0.0,3.22,0,0.32,2131,10,0.47,Nacoes Shopping,NS
NONE,2026-08-11 00:00:00,0.0,2.31,0.0,0.03,0,0.0,13,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-11 00:00:00,0.0,1.99,0.0,14.23,0,0.89,7138,16,0.22,Nacoes Shopping,NS
AGE_25_34,2026-08-11 00:00:00,0.0,2.35,0.0,12.39,0,0.69,5268,18,0.34,Nacoes Shopping,NS
AGE_35_44,2026-08-11 00:00:00,0.0,3.25,0.0,13.09,0,1.31,4028,10,0.25,Nacoes Shopping,NS
AGE_45_54,2026-08-11 00:00:00,0.0,1.74,0.0,4.26,0,1.42,2442,3,0.12,Nacoes Shopping,NS
AGE_55_100,2026-08-11 00:00:00,0.0,1.65,0.0,3.55,0,0.71,2151,5,0.23,Nacoes Shopping,NS
NONE,2026-08-12 00:00:00,0.0,4.58,0.0,0.11,0,0.0,24,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-12 00:00:00,0.0,2.5,0.0,17.7,0,0.68,7068,26,0.37,Nacoes Shopping,NS
AGE_25_34,2026-08-12 00:00:00,0.0,2.14,0.0,10.56,0,0.7,4946,15,0.3,Nacoes Shopping,NS
AGE_35_44,2026-08-12 00:00:00,0.0,2.04,0.0,7.75,0,0.86,3794,9,0.24,Nacoes Shopping,NS
AGE_45_54,2026-08-12 00:00:00,0.0,4.47,0.0,11.35,0,1.42,2540,8,0.31,Nacoes Shopping,NS
AGE_55_100,2026-08-12 00:00:00,0.0,1.8,0.0,3.84,0,0.64,2135,6,0.28,Nacoes Shopping,NS
NONE,2026-08-13 00:00:00,0.0,4.76,0.0,0.1,0,0.0,21,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-13 00:00:00,0.0,2.62,0.0,19.09,0,1.91,7277,10,0.14,Nacoes Shopping,NS
AGE_25_34,2026-08-13 00:00:00,0.0,5.17,0.0,24.74,0,1.65,4781,15,0.31,Nacoes Shopping,NS
AGE_35_44,2026-08-13 00:00:00,0.0,1.95,0.0,7.05,0,0.88,3616,8,0.22,Nacoes Shopping,NS
AGE_45_54,2026-08-13 00:00:00,0.0,4.6,0.0,11.64,0,1.46,2533,8,0.32,Nacoes Shopping,NS
AGE_55_100,2026-08-13 00:00:00,0.0,1.76,0.0,3.56,0,1.19,2024,3,0.15,Nacoes Shopping,NS
NONE,2026-08-14 00:00:00,0.0,5.29,0.0,0.09,0,0.0,17,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-14 00:00:00,0.0,1.99,0.0,13.47,0,0.84,6762,16,0.24,Nacoes Shopping,NS
AGE_25_34,2026-08-14 00:00:00,0.0,4.81,0.0,22.28,0,1.31,4636,17,0.37,Nacoes Shopping,NS
AGE_35_44,2026-08-14 00:00:00,0.0,1.98,0.0,6.9,0,0.99,3486,7,0.2,Nacoes Shopping,NS
AGE_45_54,2026-08-14 00:00:00,0.0,1.75,0.0,4.1,0,0.59,2342,7,0.3,Nacoes Shopping,NS
AGE_55_100,2026-08-14 00:00:00,0.0,1.63,0.0,3.27,0,0.65,2009,5,0.25,Nacoes Shopping,NS
NONE,2026-08-15 00:00:00,0.0,1.67,0.0,0.02,0,0.0,12,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-15 00:00:00,0.0,6.5,0.0,50.07,0,2.28,7701,22,0.29,Nacoes Shopping,NS
AGE_25_34,2026-08-15 00:00:00,0.0,3.53,0.0,18.87,0,1.45,5352,13,0.24,Nacoes Shopping,NS
AGE_35_44,2026-08-15 00:00:00,0.0,2.08,0.0,7.99,0,1.14,3845,7,0.18,Nacoes Shopping,NS
AGE_45_54,2026-08-15 00:00:00,0.0,1.92,0.0,5.06,0,5.06,2635,1,0.04,Nacoes Shopping,NS
AGE_55_100,2026-08-15 00:00:00,0.0,1.86,0.0,3.94,0,0.79,2116,5,0.24,Nacoes Shopping,NS
NONE,2026-08-16 00:00:00,0.0,4.0,0.0,0.04,0,0.0,10,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-16 00:00:00,0.0,6.18,0.0,24.66,0,2.47,3993,10,0.25,Nacoes Shopping,NS
AGE_25_34,2026-08-16 00:00:00,0.0,4.48,0.0,12.03,0,1.2,2686,10,0.37,Nacoes Shopping,NS
AGE_35_44,2026-08-16 00:00:00,0.0,2.22,0.0,4.4,0,1.1,1980,4,0.2,Nacoes Shopping,NS
AGE_45_54,2026-08-16 00:00:00,0.0,1.8,0.0,2.34,0,2.34,1298,1,0.08,Nacoes Shopping,NS
AGE_55_100,2026-08-16 00:00:00,0.0,1.88,0.0,1.79,0,0.0,953,0,0.0,Nacoes Shopping,NS
NONE,2026-08-17 00:00:00,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-17 00:00:00,0.0,29.56,0.0,6.71,0,6.71,227,1,0.44,Nacoes Shopping,NS
AGE_25_34,2026-08-17 00:00:00,0.0,317.71,0.0,55.6,0,27.8,175,2,1.14,Nacoes Shopping,NS
AGE_35_44,2026-08-17 00:00:00,0.0,41.3,0.0,3.8,0,1.9,92,2,2.17,Nacoes Shopping,NS
AGE_45_54,2026-08-17 00:00:00,0.0,0.0,0.0,0.0,0,0.0,46,0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-08-17 00:00:00,0.0,0.0,0.0,0.0,0,0.0,13,0,0.0,Nacoes Shopping,NS
NONE,2026-08-18 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-18 00:00:00,0.0,258.05,0.0,22.45,0,4.49,87,5,5.75,Nacoes Shopping,NS
AGE_25_34,2026-08-18 00:00:00,0.0,0.0,0.0,0.0,0,0.0,96,0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-08-18 00:00:00,0.0,39.47,0.0,1.5,0,1.5,38,1,2.63,Nacoes Shopping,NS
AGE_45_54,2026-08-18 00:00:00,0.0,0.0,0.0,0.0,0,0.0,23,0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-08-18 00:00:00,0.0,0.0,0.0,0.0,0,0.0,7,0,0.0,Nacoes Shopping,NS
NONE,2026-08-19 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-20 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-21 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-22 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-23 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-23 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-24 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-26 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-27 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-28 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-29 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
NONE,2026-08-31 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,Nacoes Shopping,NS
