country_code,clicks,ctr,cpc,conversion,spend,impressions,cost_per_conversion,conversion_rate,cpm,shopping,shopping_sigla
None,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,Nacoes Shopping,NS
BR,97238,2.28,0.12,0,11489.11,4264910,0.0,0.0,2.69,Nacoes Shopping,NS
