stat_time_day,engaged_view_15s,engaged_view,profile_visits,spend,ctr,video_watched_6s,video_views_p75,cost_per_conversion,average_video_play,video_watched_2s,conversion_rate,video_views_p100,total_complete_payment_rate,video_play_actions,clicks,video_views_p25,cpm,cpc,video_views_p50,comments,conversion,impressions,shares,follows,clicks_on_music_disc,likes,average_video_play_per_user,shopping,shopping_sigla
2025-07-09 00:00:00,307,823,39,47.55,0.0,831,127,0.0,1.66,3169,0.0,76,0.0,23036,0,517,2.05,0.0,228,2,0,23185,1,4,0,43,2.75,Nacoes Shopping,NS
2025-07-04 00:00:00,364,925,54,50.63,0.0,936,166,0.0,1.62,3485,0.0,98,0.0,24915,0,607,2.02,0.0,273,1,0,25075,3,3,0,31,2.83,Nacoes Shopping,NS
2025-06-29 00:00:00,18,61,4,13.13,0.0,62,2,0.0,1.07,278,0.0,1,0.0,5107,0,19,2.56,0.0,5,0,0,5137,0,0,0,5,1.14,Nacoes Shopping,NS
2025-07-10 00:00:00,297,804,38,48.0,0.0,813,141,0.0,1.59,3147,0.0,80,0.0,22940,0,505,2.08,0.0,223,0,0,23108,0,7,0,32,2.6,Nacoes Shopping,NS
2025-07-05 00:00:00,322,929,57,50.28,0.0,934,158,0.0,1.6,3615,0.0,90,0.0,26346,0,572,1.9,0.0,258,1,0,26491,2,6,0,47,2.69,Nacoes Shopping,NS
2025-06-30 00:00:00,98,268,16,23.3,0.0,266,40,0.0,1.39,1003,0.0,27,0.0,9878,0,144,2.35,0.0,64,1,0,9925,0,1,0,12,2.09,Nacoes Shopping,NS
2025-06-25 00:00:00,8,27,4,6.51,0.0,27,4,0.0,1.07,137,0.0,2,0.0,2564,0,22,2.53,0.0,8,0,0,2578,0,0,0,0,1.1,Nacoes Shopping,NS
2025-06-20 00:00:00,17,38,6,8.74,0.0,38,12,0.0,1.14,265,0.0,10,0.0,3998,0,27,2.18,0.0,17,0,0,4016,0,0,0,2,1.17,Nacoes Shopping,NS
2025-06-15 00:00:00,73,194,9,32.8,0.09,182,31,0.0,1.15,823,0.0,15,0.0,12487,11,134,2.61,2.98,56,0,0,12554,0,10,0,16,1.27,Nacoes Shopping,NS
2025-06-27 00:00:00,8,25,0,7.88,0.0,25,3,0.0,1.03,164,0.0,2,0.0,2963,0,11,2.65,0.0,7,0,0,2976,0,1,0,1,1.15,Nacoes Shopping,NS
2025-06-22 00:00:00,12,49,4,8.13,0.0,51,7,0.0,1.14,266,0.0,6,0.0,3908,0,46,2.07,0.0,12,0,0,3925,0,0,0,3,1.19,Nacoes Shopping,NS
2025-06-17 00:00:00,19,62,8,9.45,0.0,62,14,0.0,1.27,366,0.0,10,0.0,4470,0,54,2.1,0.0,19,0,0,4498,0,1,0,3,1.31,Nacoes Shopping,NS
