stat_time_day,adgroup_id,clicks,comments,follows,likes,cpc,conversion,clicks_on_music_disc,spend,cpm,profile_visits,impressions,conversion_rate,cost_per_conversion,shares,total_complete_payment_rate,ctr,shopping,shopping_sigla,adgroup_name,campaign_id,optimization_goal,campaign_name
2025-09-29 00:00:00,1844352112172338,0,0,0,3,0.0,0,0,21.92,2.49,11,8791,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-06 00:00:00,1844351345526801,0,0,1,4,0.0,0,0,18.37,2.09,9,8788,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-09-26 00:00:00,1844351345526801,0,0,0,1,0.0,0,0,9.75,2.3,1,4244,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-16 00:00:00,1844351345526801,0,0,0,3,0.0,0,0,16.26,2.38,8,6827,0.0,0.0,1,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-22 00:00:00,1844352112172338,0,0,0,0,0.0,0,0,12.6,2.61,6,4832,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-12 00:00:00,1844352112172338,0,0,0,5,0.0,0,0,17.73,1.97,15,8985,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-02 00:00:00,1844352112172338,0,1,0,10,0.0,0,0,21.02,2.18,16,9651,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-19 00:00:00,1844351345526801,0,0,1,3,0.0,0,0,14.5,2.13,5,6808,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-09 00:00:00,1844351345526801,0,0,1,1,0.0,0,0,17.83,2.3,17,7737,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-09-29 00:00:00,1844351345526801,0,0,1,6,0.0,0,0,20.62,2.48,4,8311,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-05 00:00:00,1844352112172338,0,0,0,4,0.0,0,0,19.28,1.95,12,9891,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-15 00:00:00,1844352112172338,0,0,0,5,0.0,0,0,16.75,2.35,7,7137,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-09-27 00:00:00,1811358948673586,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20240927105321,1811358948673554,CLICK,Tráfego - App instal - NS
2025-10-25 00:00:00,1844352112172338,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-12 00:00:00,1844351345526801,0,0,1,1,0.0,0,0,17.13,1.98,11,8651,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-02 00:00:00,1844351345526801,0,0,0,3,0.0,0,0,19.73,2.18,5,9035,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-22 00:00:00,1844351345526801,0,0,0,3,0.0,0,0,12.64,2.58,11,4890,0.0,0.0,1,0.0,0.0,Nacoes Shopping,NS,Gift Card,1844350458030129,REACH,Alcance - Giftcard 
2025-10-08 00:00:00,1844352112172338,0,1,2,5,0.0,0,0,19.04,2.34,9,8150,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-09-28 00:00:00,1844352112172338,0,1,0,5,0.0,0,0,22.09,2.34,8,9460,0.0,0.0,1,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
2025-10-18 00:00:00,1844352112172338,0,0,2,2,0.0,0,0,15.53,2.12,7,7316,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,Grupo de anúncios 20250926032851,1844352110838818,REACH,Alcance - Conteúdos Set 
