adgroup_id,adgroup_name,campaign_id,status,budget,placement_type,optimization_goal,bid_type,shopping,shopping_sigla
1832195963833393,Ad group 20250515111515,1832195984469169,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1832195366576209,Ad group 20250515110311,1832195369412610,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1831563577498689,Grupo de anúncios 20250508114315,1831563577497601,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1830747137519650,Grupo de anúncios 20250429112635,1830747281548321,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1830746252927026,Grupo de anúncios 20250429111405,1830746252922946,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1830745757913137,Grupo de anúncios 20250429110702,1830745925410866,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1828954373297201,Grupo de anúncios 20250409042244,1828954373297185,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1828407150156962,Grupo de anúncios 20250403032638,1828407150156946,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1828314408241202,Grupo de anúncios 20250402025416,1828314519850002,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1827595524861954,Grupo de anúncios 20250325042413,1827595524859954,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1827595014894641,Grupo de anúncios 20250325041718,1827595014894625,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1827046369261601,Grupo de anúncios 20250319025710,1827046369261585,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,ENGAGED_VIEW,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1826392596499490,Grupo de anúncios 20250312093949,1826392596491314,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1826236413449218,Grupo de anúncios 20250310041619,1826236413448242,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
1824583004169249,Ad group 20250220101735,1824583004169233,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,REACH,BID_TYPE_CUSTOM,Nacoes Shopping,NS
