shopping,shopping_sigla,campanha_id,campanha,status,tipo_canal,estrategia_lance,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,cpa,impression_share,view_through_conv,todas_conversoes,valor_todas_conversoes,interacoes,taxa_interacao
GERAL,GERAL,19864983969,[SEARCH - AJFANS - BS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-08,1163,264,0.22699914015477213,0.16000632575757576,42.24167,85.0,0.0,0.49696082352941173,0.1896153846153846,0,122.0,0.0,264,0.22699914015477213
GERAL,GERAL,19897114487,[SEARCH - AJFANS - NK],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-08,2944,935,0.31759510869565216,0.040259932620320855,37.643037,60.0,0.0,0.6273839499999999,0.448479346345892,0,167.49292,0.0,935,0.31759510869565216
GERAL,GERAL,19897741874,[SEARCH - AJFANS - NS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-08,1650,562,0.3406060606060606,0.06655910498220641,37.406217,24.0,0.0,1.558592375,0.33011272141706927,0,86.0,0.0,562,0.3406060606060606
GERAL,GERAL,21623191643,[SEARCH - AJFANS - GS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-08,1404,539,0.3839031339031339,0.06429675510204082,34.655951,46.0,0.0,0.7533902391304348,0.1320450885668277,0,96.0,0.0,539,0.3839031339031339
GERAL,GERAL,21623213450,[SEARCH - AJFANS - NR],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-08,615,80,0.13008130081300814,0.498862625,39.90901,77.0,0.0,0.5182988311688311,0.0999,0,170.0,0.0,80,0.13008130081300814
GERAL,GERAL,21690592680,[SEARCH - AJFANS - CS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-08,5523,1943,0.35180155712475103,0.017612292331446216,34.220684,90.0,0.0,0.38022982222222224,0.589968152866242,0,300.0,0.0,1943,0.35180155712475103
GERAL,GERAL,24026239608,[PMAX - NARBONA - CS 02],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-08,19324,105,0.005433657627820327,0.2849728380952381,29.922148,13.0,0.0,2.3017036923076923,0.46774193548387094,0,18.0,0.0,105,0.005433657627820327
GERAL,GERAL,24031287821,[SEARCH - NARBONA - JANTAR -CS] #Atualizada #2,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-08,601,41,0.06821963394342762,0.4691669024390244,19.235843,22.0,0.0,0.8743565,0.40789473684210525,0,59.0,0.0,41,0.06821963394342762
GERAL,GERAL,24081766981,[PMAX - CARNES NOBRES - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-08,4189,71,0.01694915254237288,0.6705278732394366,47.607479,39.0,0.0,1.2207045897435898,0.16536661466458658,0,57.0,0.0,71,0.01694915254237288
GERAL,GERAL,24147825497,[PMAX - LEGUEIROS - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-08,4027,8,0.0019865905140302956,1.219056375,9.752451,1.0,0.0,9.752451,0.21052631578947367,0,2.0,0.0,8,0.0019865905140302956
GERAL,GERAL,24187241257,[INSCRIÇÕES BS NIGHT RUN],PAUSED,VIDEO,TARGET_CPM,2026-09-08,5781,19,0.003286628610966961,3.3986147368421054,64.57368,0.0,0.0,0.0,0.0,0,0.0,0.0,19,0.003286628610966961
GERAL,GERAL,24198488801,[DEMAND GEN - NIGHT RUN BS],PAUSED,DEMAND_GEN,MAXIMIZE_CONVERSIONS,2026-09-08,39594,1518,0.03833914229428701,0.05788090579710145,87.863215,910.863675,910.863675,0.09646143260680584,0.0,0,910.863675,910.863675,1518,0.03833914229428701
