shopping,shopping_sigla,hora,dia_semana,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,20,TUESDAY,2063,546,0.2646631119728551,17.539698,283.957575,2.0
GERAL,GERAL,21,TUESDAY,1433,361,0.25191905094207956,11.78499,183.636904,2.0
GERAL,GERAL,22,TUESDAY,950,248,0.26105263157894737,7.845076,91.585596,0.0
GERAL,GERAL,23,TUESDAY,502,123,0.2450199203187251,3.38796,57.921119,0.0
GERAL,GERAL,0,WEDNESDAY,341,90,0.26392961876832843,3.285659,46.006089,0.0
GERAL,GERAL,1,WEDNESDAY,162,47,0.29012345679012347,1.675394,24.5,0.0
GERAL,GERAL,2,WEDNESDAY,71,18,0.2535211267605634,0.57,7.833334,0.0
GERAL,GERAL,3,WEDNESDAY,57,8,0.14035087719298245,0.242222,4.0,0.0
GERAL,GERAL,4,WEDNESDAY,104,23,0.22115384615384615,0.856865,9.456522,0.0
GERAL,GERAL,5,WEDNESDAY,136,38,0.27941176470588236,1.222459,19.333334,0.0
GERAL,GERAL,6,WEDNESDAY,356,82,0.2303370786516854,4.358348,65.247329,0.0
GERAL,GERAL,7,WEDNESDAY,893,212,0.2374020156774916,9.531657,123.304764,0.0
GERAL,GERAL,8,WEDNESDAY,1341,331,0.24683072334079045,15.25259,211.062441,0.0
GERAL,GERAL,9,WEDNESDAY,2057,491,0.23869713174526008,25.753062,332.987444,0.0
GERAL,GERAL,10,WEDNESDAY,2525,595,0.23564356435643563,33.006192,460.25062,5.0
GERAL,GERAL,11,WEDNESDAY,3119,725,0.23244629689002885,44.946787,603.367403,1.0
GERAL,GERAL,12,WEDNESDAY,3704,892,0.2408207343412527,48.818543,713.233019,6.0
GERAL,GERAL,13,WEDNESDAY,3032,759,0.25032981530343007,39.692127,557.327974,0.0
GERAL,GERAL,14,WEDNESDAY,2769,639,0.23076923076923078,38.857293,447.816665,3.0
GERAL,GERAL,15,WEDNESDAY,2811,648,0.2305229455709712,37.110517,523.94897,2.0
GERAL,GERAL,16,WEDNESDAY,2799,685,0.24473026080743124,35.233057,505.650325,3.0
GERAL,GERAL,17,WEDNESDAY,2901,706,0.2433643571182351,40.960007,557.178078,3.0
GERAL,GERAL,18,WEDNESDAY,2979,769,0.25814031554212824,42.55631,571.162184,2.0
GERAL,GERAL,19,WEDNESDAY,2530,602,0.23794466403162054,28.733241,420.560632,2.0
GERAL,GERAL,20,WEDNESDAY,1852,426,0.23002159827213822,21.492451,296.729167,3.0
GERAL,GERAL,21,WEDNESDAY,1321,284,0.2149886449659349,11.308151,183.479165,3.0
GERAL,GERAL,22,WEDNESDAY,871,228,0.2617680826636051,8.221318,102.86111,0.0
GERAL,GERAL,23,WEDNESDAY,523,134,0.25621414913957935,4.775196,90.0,0.0
GERAL,GERAL,0,THURSDAY,393,115,0.2926208651399491,3.908448,47.510256,1.0
GERAL,GERAL,1,THURSDAY,172,51,0.29651162790697677,1.791021,23.5,0.0
GERAL,GERAL,2,THURSDAY,93,27,0.2903225806451613,1.138621,14.407408,0.0
GERAL,GERAL,3,THURSDAY,70,23,0.32857142857142857,0.896626,16.666666,0.0
GERAL,GERAL,4,THURSDAY,71,15,0.2112676056338028,1.09,16.5,0.0
GERAL,GERAL,5,THURSDAY,148,40,0.2702702702702703,1.831289,18.5,0.0
GERAL,GERAL,6,THURSDAY,418,116,0.27751196172248804,5.991698,93.750003,3.0
