date,sessions,totalUsers,newUsers,bounceRate,averageSessionDuration,screenPageViews,conversions,totalRevenue
20251217,420.0,376.0,308.0,0.47619047619047616,113.20342772619047,573.0,9.0,0.0
20260201,413.0,396.0,372.0,0.648910411622276,41.56162131476998,500.0,41.0,0.0
20251208,405.0,366.0,315.0,0.3802469135802469,134.8220375876543,602.0,19.0,0.0
20251221,401.0,381.0,352.0,0.57356608478803,630.6792905910224,532.0,10.0,0.0
20251225,377.0,366.0,338.0,0.6657824933687002,49.22524215384616,471.0,7.0,0.0
20251209,374.0,338.0,295.0,0.4090909090909091,128.0413895962567,548.0,15.0,0.0
20251220,357.0,349.0,323.0,0.5742296918767507,67.83558634733893,489.0,10.0,0.0
20251210,354.0,325.0,281.0,0.4180790960451977,110.53960646892655,548.0,14.0,0.0
20251224,350.0,336.0,314.0,0.5742857142857143,93.79673129714286,476.0,36.0,0.0
20251214,345.0,319.0,290.0,0.4057971014492754,72.32626248115942,506.0,6.0,0.0
20251211,328.0,317.0,274.0,0.4268292682926829,310.18659847560974,497.0,11.0,0.0
20251212,319.0,285.0,244.0,0.43260188087774293,125.24096164263322,478.0,13.0,0.0
20251207,317.0,301.0,270.0,0.4637223974763407,90.90460580126184,462.0,8.0,0.0
20251213,299.0,280.0,252.0,0.47157190635451507,94.69332177926421,455.0,5.0,0.0
20251206,283.0,273.0,245.0,0.4876325088339223,54.896093526501765,414.0,3.0,0.0
20251231,272.0,266.0,252.0,0.6139705882352942,55.78721846691176,333.0,18.0,0.0
