date,pageTitle,pagePath,sessions,totalUsers,screenPageViews,bounceRate,averageSessionDuration,conversions,totalRevenue,engagementRate
20251021,Almeida Junior,/pt-br/,522.0,466.0,519.0,0.6839080459770115,33.82961567624521,41.0,0.0,0.3160919540229885
20250923,Almeida Junior,/pt-br/,520.0,462.0,512.0,0.7711538461538462,43.06292858269231,35.0,0.0,0.22884615384615384
20260620,Almeida Junior,/pt-br/,518.0,504.0,522.0,0.7027027027027027,12.055121571428572,142.0,0.0,0.2972972972972973
20260208,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,508.0,490.0,627.0,0.6240157480314961,48.19824152952756,0.0,0.0,0.37598425196850394
20260822,Almeida Junior,/pt-br/,497.0,488.0,500.0,0.6740442655935613,12.28912173440644,141.0,0.0,0.32595573440643866
20260207,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,492.0,480.0,615.0,0.5894308943089431,48.59998528252033,0.0,0.0,0.4105691056910569
20260307,Almeida Junior,/pt-br/,488.0,450.0,495.0,0.7090163934426229,23.921836053278692,111.0,0.0,0.29098360655737704
20260502,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,487.0,474.0,610.0,0.5975359342915811,46.09393575564682,0.0,0.0,0.4024640657084189
20260321,Almeida Junior,/pt-br/,480.0,436.0,475.0,0.6958333333333333,23.740538547916668,115.0,0.0,0.30416666666666664
20251010,AJFans Clientes - Almeida Junior,/pt-br/ajfans/,474.0,397.0,474.0,0.8945147679324894,31.856086263713077,0.0,0.0,0.10548523206751055
20260308,Almeida Junior,/pt-br/,474.0,449.0,478.0,0.7151898734177216,13.6521599092827,105.0,0.0,0.2848101265822785
20251020,AJFans Clientes - Almeida Junior,/pt-br/norte-shopping/ajfans/,469.0,454.0,548.0,0.5181236673773987,72.04217628997867,11.0,0.0,0.48187633262260127
20260421,Almeida Junior,/pt-br/,467.0,431.0,476.0,0.6895074946466809,27.30692133832976,108.0,0.0,0.31049250535331907
20260618,Almeida Junior,/pt-br/,451.0,422.0,461.0,0.647450110864745,31.645697689578714,65.0,0.0,0.352549889135255
20260306,Almeida Junior,/pt-br/,447.0,384.0,447.0,0.697986577181208,42.17017631991051,67.0,0.0,0.30201342281879195
20260910,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,447.0,436.0,572.0,0.6062639821029083,58.81599527516778,0.0,0.0,0.39373601789709173
20260228,Almeida Junior,/pt-br/,443.0,406.0,445.0,0.7268623024830699,18.16279177200903,95.0,0.0,0.27313769751693
20260314,Almeida Junior,/pt-br/,438.0,417.0,444.0,0.7442922374429224,14.127496961187214,86.0,0.0,0.2557077625570776
20260430,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,435.0,425.0,577.0,0.5724137931034483,60.04134356781609,1.0,0.0,0.42758620689655175
20251022,Almeida Junior,/pt-br/,421.0,374.0,421.0,0.6935866983372921,57.59604455106888,37.0,0.0,0.30641330166270786
20251008,AJFans Clientes - Almeida Junior,/pt-br/ajfans/,420.0,348.0,422.0,0.8928571428571429,40.781615219047616,0.0,0.0,0.10714285714285714
20260315,Almeida Junior,/pt-br/,417.0,392.0,422.0,0.709832134292566,29.37106670503597,88.0,0.0,0.290167865707434
20251009,AJFans Clientes - Almeida Junior,/pt-br/ajfans/,412.0,356.0,419.0,0.912621359223301,35.63330059466019,0.0,0.0,0.08737864077669903
20260615,Almeida Junior,/pt-br/,410.0,369.0,422.0,0.7024390243902439,32.89889898292683,58.0,0.0,0.2975609756097561
20260206,Almeida Junior,/pt-br/,405.0,373.0,405.0,0.7061728395061728,30.11632714814815,46.0,0.0,0.2938271604938272
20260604,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,405.0,397.0,540.0,0.6049382716049383,56.811782795061724,0.0,0.0,0.3950617283950617
20260221,Almeida Junior,/pt-br/,401.0,368.0,406.0,0.713216957605985,21.074524827930173,71.0,0.0,0.286783042394015
20260226,Almeida Junior,/pt-br/,398.0,336.0,407.0,0.6834170854271356,64.545937,74.0,0.0,0.3165829145728643
20260607,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,396.0,384.0,509.0,0.6388888888888888,51.50426270454546,2.0,0.0,0.3611111111111111
20260711,Almeida Junior,/pt-br/,395.0,388.0,395.0,0.6835443037974683,21.22419101772152,112.0,0.0,0.31645569620253167
20260223,Almeida Junior,/pt-br/,394.0,347.0,407.0,0.6598984771573604,45.556175875634516,66.0,0.0,0.3401015228426396
20260606,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,394.0,381.0,517.0,0.6294416243654822,74.749041928934,3.0,0.0,0.37055837563451777
20260322,Almeida Junior,/pt-br/,390.0,366.0,395.0,0.7230769230769231,24.506642246153845,81.0,0.0,0.27692307692307694
20260324,Almeida Junior,/pt-br/,387.0,324.0,379.0,0.7183462532299741,38.89447447545219,46.0,0.0,0.28165374677002586
20260423,Almeida Junior,/pt-br/,385.0,318.0,407.0,0.625974025974026,64.51404501298701,40.0,0.0,0.37402597402597404
20260422,Almeida Junior,/pt-br/,378.0,324.0,381.0,0.6666666666666666,44.112476891534385,55.0,0.0,0.3333333333333333
20260627,Almeida Junior,/pt-br/,378.0,368.0,379.0,0.6904761904761905,12.401790875661375,100.0,0.0,0.30952380952380953
20260319,Almeida Junior,/pt-br/,377.0,344.0,375.0,0.6976127320954907,24.266734777188333,60.0,0.0,0.30238726790450926
20260320,Almeida Junior,/pt-br/,377.0,338.0,375.0,0.7029177718832891,48.126680604774535,59.0,0.0,0.29708222811671087
20260821,Almeida Junior,/pt-br/,377.0,355.0,387.0,0.6684350132625995,24.612039631299734,68.0,0.0,0.33156498673740054
20260823,Almeida Junior,/pt-br/,373.0,364.0,378.0,0.6648793565683646,11.710387356568363,125.0,0.0,0.3351206434316354
20251019,AJFans Clientes - Almeida Junior,/pt-br/ajfans/,367.0,338.0,369.0,0.9591280653950953,5.744263741144414,2.0,0.0,0.04087193460490463
20260616,Almeida Junior,/pt-br/,366.0,335.0,366.0,0.6666666666666666,38.854251357923495,67.0,0.0,0.3333333333333333
20260323,Almeida Junior,/pt-br/,365.0,319.0,355.0,0.7013698630136986,32.63962397260274,49.0,0.0,0.29863013698630136
20260617,Almeida Junior,/pt-br/,365.0,334.0,380.0,0.6109589041095891,29.99037575342466,44.0,0.0,0.38904109589041097
20260714,Almeida Junior,/pt-br/,364.0,330.0,366.0,0.6373626373626373,63.896619395604404,50.0,0.0,0.3626373626373626
20260220,Almeida Junior,/pt-br/,363.0,314.0,371.0,0.7162534435261708,31.843156487603306,42.0,0.0,0.2837465564738292
20260310,Almeida Junior,/pt-br/,363.0,329.0,368.0,0.6914600550964187,38.6447155785124,63.0,0.0,0.3085399449035813
20260313,Almeida Junior,/pt-br/,363.0,333.0,366.0,0.7134986225895317,22.825432228650136,70.0,0.0,0.2865013774104683
20260227,Almeida Junior,/pt-br/,361.0,331.0,369.0,0.6814404432132964,46.39064451800554,49.0,0.0,0.3185595567867036
20260718,Almeida Junior,/pt-br/,359.0,348.0,364.0,0.6685236768802229,23.036647626740947,104.0,0.0,0.33147632311977715
20260905,Almeida Junior,/pt-br/,357.0,350.0,360.0,0.7030812324929971,17.274437420168066,105.0,0.0,0.2969187675070028
20260205,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,353.0,344.0,423.0,0.5779036827195467,55.0181052917847,0.0,0.0,0.42209631728045327
20260316,Almeida Junior,/pt-br/,352.0,313.0,341.0,0.7017045454545454,41.54026720454545,55.0,0.0,0.29829545454545453
20260311,Almeida Junior,/pt-br/,350.0,312.0,357.0,0.6657142857142857,48.13423732571429,50.0,0.0,0.3342857142857143
20260312,Almeida Junior,/pt-br/,350.0,306.0,348.0,0.6714285714285714,45.35770909714285,60.0,0.0,0.32857142857142857
20260309,Almeida Junior,/pt-br/,349.0,314.0,353.0,0.7048710601719198,27.183719813753576,54.0,0.0,0.29512893982808025
20260717,Almeida Junior,/pt-br/,348.0,330.0,353.0,0.6494252873563219,29.126685499999997,77.0,0.0,0.3505747126436782
20260713,Almeida Junior,/pt-br/,345.0,309.0,337.0,0.6376811594202898,39.66040764927536,70.0,0.0,0.36231884057971014
20260720,Almeida Junior,/pt-br/,344.0,317.0,349.0,0.627906976744186,48.23641012209302,75.0,0.0,0.37209302325581395
20260225,Almeida Junior,/pt-br/,342.0,312.0,351.0,0.6988304093567251,48.72615296783625,53.0,0.0,0.30116959064327486
20260318,Almeida Junior,/pt-br/,341.0,295.0,348.0,0.6950146627565983,38.76700158944281,49.0,0.0,0.30498533724340177
20260115,Almeida Junior,/pt-br/,340.0,322.0,352.0,0.6705882352941176,35.86861220294117,43.0,0.0,0.32941176470588235
20260305,Almeida Junior,/pt-br/,339.0,301.0,342.0,0.6460176991150443,71.37157065486726,59.0,0.0,0.35398230088495575
20260303,Almeida Junior,/pt-br/,337.0,304.0,336.0,0.6943620178041543,33.62774923738872,64.0,0.0,0.3056379821958457
20260429,Nossos shoppings - Almeida Junior,/pt-br/nossos-shoppings/,333.0,319.0,427.0,0.6006006006006006,45.43978096996997,1.0,0.0,0.3993993993993994
20260523,Garten Shopping - Franquias - Almeida Junior,/pt-br/franquias/garten-shopping/,333.0,331.0,349.0,0.93993993993994,3.7451312972972977,0.0,0.0,0.06006006006006006
20251015,AJFans Clientes - Almeida Junior,/pt-br/ajfans/,332.0,282.0,323.0,0.8975903614457831,39.62726550903615,0.0,0.0,0.10240963855421686
20260301,Almeida Junior,/pt-br/,332.0,308.0,332.0,0.7259036144578314,18.9482813313253,70.0,0.0,0.2740963855421687
20260731,Almeida Junior,/pt-br/,332.0,320.0,339.0,0.6596385542168675,33.30057598493976,63.0,0.0,0.34036144578313254
